,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.92,1.07,1.47,1.54,3.29,19.51,38.04,26.23,28.05,33.36,60.04,86.45,76.79,113.3,112.67
f_1,1.08,1.0,0.88,1.08,1.43,2.74,13.85,22.67,23.07,25.33,31.97,45.05,59.99,77.17,105.82,99.91
d_1,0.94,1.13,1.0,1.2,1.2,2.75,15.82,21.8,29.41,18.56,34.8,48.46,69.2,75.23,70.61,97.6
c_1,0.68,0.92,0.84,1.0,1.68,2.42,13.78,15.46,16.7,20.9,22.27,40.76,66.49,55.51,79.75,96.75
b_1,0.64,0.7,0.84,0.6,1.0,3.06,12.08,15.49,17.91,18.88,22.01,32.92,53.98,54.33,67.3,79.1
a_1,0.31,0.37,0.36,0.42,0.32,1.0,6.38,7.96,8.06,9.35,14.25,16.57,27.89,30.59,36.08,37.38
h_1,0.05,0.07,0.06,0.07,0.08,0.15,1.0,1.44,1.4,1.8,1.83,2.59,4.07,4.17,6.84,5.82
d_0,0.03,0.04,0.05,0.07,0.06,0.12,0.71,1.0,0.83,1.15,1.33,2.09,3.32,2.66,4.4,4.67
c_0,0.04,0.04,0.03,0.05,0.06,0.12,0.73,1.15,1.0,1.11,1.84,2.27,2.91,3.84,4.12,4.61
g_1,0.04,0.04,0.05,0.05,0.06,0.1,0.54,0.86,0.9,1.0,1.23,2.58,2.39,2.62,3.8,4.38
b_0,0.03,0.03,0.03,0.05,0.04,0.07,0.54,0.72,0.53,0.81,1.0,1.5,2.76,3.49,2.84,3.58
f_0,0.02,0.02,0.02,0.02,0.03,0.06,0.41,0.45,0.42,0.38,0.67,1.0,1.52,1.58,1.64,3.06
h_0,0.01,0.02,0.01,0.02,0.02,0.03,0.25,0.31,0.33,0.43,0.36,0.64,1.0,0.93,1.55,1.27
a_0,0.01,0.01,0.01,0.02,0.02,0.03,0.23,0.34,0.28,0.36,0.32,0.6,1.05,1.0,1.37,1.26
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.14,0.24,0.24,0.24,0.36,0.63,0.64,0.68,1.0,1.03
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.18,0.19,0.22,0.22,0.31,0.33,0.85,0.73,1.03,1.0
