,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.73,0.83,0.68,1.01,0.87,0.74,0.92,1.0,1.48,0.9,0.96,1.0,1.07,0.96,0.85,0.96
f_1,1.24,1.77,0.82,0.79,0.74,0.67,0.9,0.85,0.92,0.88,0.92,0.65,0.93,0.93,0.66,0.92
d_1,0.82,0.87,1.98,0.65,0.75,0.8,0.91,0.96,0.72,1.61,1.27,0.96,1.03,1.06,1.04,1.0
c_1,0.71,0.8,0.75,2.02,1.32,0.81,1.04,0.79,0.86,0.56,0.71,0.96,0.92,0.89,0.92,0.97
b_1,0.77,0.9,0.81,0.79,2.03,1.37,1.0,0.93,0.88,0.9,0.68,1.08,0.9,0.76,1.1,0.87
a_1,0.81,0.85,0.88,0.92,0.66,2.82,1.03,1.11,1.04,0.94,1.07,1.06,1.03,0.96,1.08,1.09
h_1,0.79,1.09,0.99,0.81,0.86,0.65,1.78,1.34,0.86,0.98,0.97,1.02,0.82,0.94,0.99,1.32
g_1,0.75,0.79,1.31,0.75,0.85,0.69,0.98,1.99,0.84,1.07,1.03,1.47,1.01,1.04,1.23,0.87
d_0,0.77,0.84,0.64,1.49,0.95,0.9,1.03,1.0,1.43,0.69,1.0,1.08,1.07,1.02,0.96,0.95
c_0,0.88,0.97,1.04,0.72,0.68,0.82,0.96,1.08,1.03,1.59,1.89,1.04,1.22,1.43,1.06,1.17
b_0,0.92,0.93,0.99,0.94,0.7,0.65,1.03,1.17,1.09,1.14,1.64,1.15,1.21,1.86,1.11,1.12
f_0,0.77,0.73,1.04,0.97,0.8,0.88,1.22,1.05,1.15,1.07,1.11,1.59,1.14,1.18,2.14,1.26
h_0,0.93,1.09,1.01,0.81,0.83,0.75,0.84,1.26,0.86,1.06,0.89,1.05,0.86,1.06,0.88,1.38
a_0,0.91,0.99,1.02,0.78,0.79,0.71,1.07,1.03,0.99,1.09,1.19,0.96,1.25,2.04,1.1,1.04
e_0,0.71,0.98,1.11,0.76,0.82,0.9,1.19,1.04,0.95,1.14,1.22,1.21,1.12,1.07,2.16,1.3
g_0,0.74,0.79,1.33,0.83,0.83,0.76,0.94,0.93,0.82,1.16,1.06,1.53,1.09,1.04,1.3,0.88
