,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.19,1.12,0.91,0.94,0.84,0.88,0.84,0.91,0.9,0.9,0.83,0.84,0.8,1.0,0.94
e_1,0.84,1.0,1.05,0.87,1.02,0.98,1.06,1.56,1.31,1.01,1.09,1.22,1.13,1.35,1.25,1.11
c_1,0.89,0.95,1.0,1.18,1.42,0.97,0.99,0.67,1.04,0.67,0.82,0.86,0.88,0.76,0.81,1.0
d_1,1.09,1.15,0.85,1.0,0.91,0.81,1.11,0.98,0.8,1.3,1.09,0.94,1.12,1.15,1.06,0.88
b_1,1.04,0.98,0.7,1.1,1.0,1.66,0.91,1.08,0.89,1.16,0.86,1.11,1.08,1.01,0.87,0.93
a_1,1.2,1.02,1.03,1.23,0.61,1.0,1.12,1.22,1.05,0.98,1.19,1.01,1.1,1.11,1.05,1.13
h_1,1.17,0.91,0.99,0.89,1.1,0.86,1.0,0.88,1.16,1.01,0.91,0.92,1.01,1.05,0.87,1.05
d_0,1.09,0.63,1.56,1.08,1.03,0.81,1.12,1.0,1.14,0.9,0.97,0.87,1.07,1.19,1.03,1.14
g_1,1.08,0.76,0.96,1.3,1.09,1.03,0.86,0.88,1.0,1.02,0.99,1.08,0.85,1.1,0.88,1.08
c_0,1.12,1.02,1.39,0.76,0.81,1.01,0.96,1.14,0.98,1.0,1.61,1.18,0.98,0.97,1.11,0.97
b_0,1.19,0.9,1.24,0.89,1.38,0.81,1.14,0.98,1.02,0.65,1.0,1.03,0.95,1.0,1.37,1.07
f_0,1.02,0.82,1.14,1.03,1.0,1.01,1.06,1.1,0.92,0.85,0.93,1.0,1.07,1.3,0.92,0.84
h_0,1.16,0.91,1.05,0.89,0.91,0.94,1.05,0.91,1.18,1.03,1.01,0.91,1.0,1.03,0.88,1.34
e_0,1.27,0.75,1.3,0.85,1.03,1.0,1.01,0.83,0.94,1.03,0.99,0.82,0.96,1.0,0.81,0.99
a_0,0.99,0.84,1.24,0.91,1.13,0.93,1.11,0.98,1.12,0.93,0.72,1.09,1.14,1.25,1.0,1.22
g_0,1.05,0.92,1.07,1.2,1.01,0.87,0.91,0.9,1.0,0.98,0.89,1.18,0.73,0.95,0.82,1.0
