,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,93.26,112.3,102.78,108.94,160.69,383.57,11042.23,30038.72,26515.15,33619.9,42992.47,64088.39,115880.96,119007.96,167906.09,268948.02
e_1,58.9,110.9,116.72,101.82,157.83,433.16,10960.94,39185.76,27829.79,30423.68,39724.12,78669.47,123010.18,106599.98,182578.62,245929.48
c_1,54.91,62.61,136.35,104.34,221.18,423.97,9568.93,20063.55,23446.22,21485.75,29916.0,57581.03,118075.19,97143.54,128480.7,212152.58
d_1,55.14,67.3,74.83,154.1,134.91,381.71,9573.2,19582.49,23477.02,40145.45,41157.27,56156.8,113979.93,104416.72,142802.04,188071.91
b_1,47.59,53.55,65.94,92.2,206.32,595.57,8918.32,18351.81,20512.5,23998.95,26710.64,54775.9,102293.45,70916.79,136972.74,185017.44
a_1,37.04,38.65,56.51,66.63,72.66,484.67,6895.2,14516.79,16558.36,17453.34,24389.28,39095.32,71285.73,53487.14,113124.98,136142.9
h_1,17.17,17.92,24.32,28.3,38.01,94.02,3358.99,6309.6,7113.35,7447.02,10410.99,15351.2,27852.6,27276.41,49186.85,69917.72
d_0,10.9,11.23,28.22,18.66,32.52,82.49,1859.88,5815.0,5614.45,4769.41,8099.41,12569.61,25698.38,23270.41,39212.45,42490.98
g_1,10.67,12.35,18.17,25.87,30.46,74.37,1919.65,3935.64,6953.96,5567.99,7013.49,15185.91,21611.16,21815.11,34431.81,38312.65
c_0,11.08,13.54,17.76,18.73,25.92,69.26,2010.21,5173.18,5130.48,6863.14,11730.27,13353.5,26569.5,28442.75,34717.22,43185.83
b_0,10.49,12.6,18.56,17.17,23.95,54.82,1882.88,4462.14,4458.99,4296.52,8391.44,12227.94,23276.86,31916.33,32379.23,38579.42
f_0,8.09,8.95,14.39,16.41,24.06,63.76,1611.86,3811.57,3694.02,4200.03,5592.71,12471.32,20436.79,18639.24,45615.43,28444.9
h_0,9.27,9.54,10.33,14.0,18.02,49.38,1210.2,2925.13,3898.02,3283.89,4740.19,7805.26,12733.26,11548.69,22709.25,31566.53
a_0,7.5,9.4,12.76,13.43,19.62,45.1,1289.84,3112.28,3129.74,3539.39,3688.22,7404.58,16505.33,18424.3,21243.34,29106.44
e_0,6.07,6.41,11.06,13.52,17.78,43.36,1115.03,2157.31,3179.2,3324.63,4425.63,5102.37,13797.92,12208.95,24992.31,23207.49
g_0,5.5,6.78,9.53,14.78,16.49,40.44,957.73,2428.15,2269.33,3059.04,4041.86,8942.64,12070.1,9867.65,21251.8,20687.07
