,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.0,0.87,0.79,1.26,0.97,0.87,0.81,0.69,0.64,0.9,0.76,0.69,0.64,0.56,0.61,0.59
d_1,1.14,1.0,0.96,0.9,0.98,0.82,0.72,0.51,0.85,0.65,0.64,0.58,0.6,0.59,0.57,0.47
f_1,1.27,1.04,1.0,0.88,0.91,0.75,0.63,0.75,0.58,0.64,0.51,0.58,0.45,0.57,0.43,0.63
c_1,0.8,1.12,1.12,1.0,1.37,0.78,0.68,0.81,0.63,0.47,0.66,0.5,0.61,0.54,0.6,0.58
b_1,1.05,1.02,1.09,0.73,1.0,1.33,0.77,0.74,0.65,0.64,0.64,0.58,0.71,0.57,0.7,0.61
a_1,1.16,1.19,1.35,1.29,0.74,1.0,0.83,0.84,0.73,0.89,0.73,1.08,0.64,0.78,0.7,0.64
h_1,1.21,1.38,1.56,1.45,1.3,1.25,1.0,1.04,0.84,0.84,0.86,0.89,0.97,0.74,0.74,0.95
g_1,1.49,1.89,1.33,1.24,1.29,1.3,0.97,1.0,0.99,0.92,1.06,0.99,0.7,0.81,0.88,0.87
c_0,1.52,1.18,1.61,1.56,1.62,1.42,1.17,1.0,1.0,1.23,0.94,1.33,0.94,1.02,0.83,0.94
d_0,1.09,1.64,1.56,2.25,1.5,1.08,1.17,1.05,0.79,1.0,0.93,0.96,0.98,0.95,0.89,0.95
f_0,1.35,1.47,2.02,1.5,1.64,1.36,1.22,0.93,1.03,1.09,1.0,0.99,1.04,0.88,1.45,0.79
b_0,1.44,1.73,1.76,2.02,1.57,1.0,1.14,1.02,0.75,1.03,0.92,1.0,1.07,1.41,0.92,0.81
h_0,1.49,1.67,2.19,1.74,1.39,1.53,1.08,1.46,1.08,1.09,0.96,0.97,1.0,1.02,0.86,1.16
a_0,1.83,1.63,1.8,1.86,1.79,1.23,1.31,1.25,1.03,1.03,1.14,0.74,1.07,1.0,1.05,1.12
e_0,1.67,1.69,2.23,1.59,1.54,1.37,1.32,1.14,1.18,1.03,0.69,1.11,1.19,1.0,1.0,1.01
g_0,1.6,2.12,1.65,1.76,1.62,1.63,1.04,1.11,1.1,1.09,1.21,1.19,0.87,0.9,1.04,1.0
