,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.49,0.41,0.51,0.46,0.41,0.37,0.57,0.97,0.54,0.57,0.55,0.61,0.56,0.41,0.23,0.58
f_1,0.81,1.49,0.45,0.37,0.39,0.29,0.44,0.56,0.48,0.53,0.53,0.23,0.59,0.43,0.38,0.6
c_1,0.4,0.47,1.56,0.44,0.68,0.46,0.57,0.56,0.56,0.26,0.46,0.55,0.52,0.42,0.48,0.55
d_1,0.44,0.61,0.39,1.57,0.43,0.37,0.59,0.31,0.49,0.88,0.54,0.51,0.66,0.52,0.46,0.38
b_1,0.49,0.49,0.48,0.52,1.6,0.65,0.48,0.48,0.41,0.53,0.22,0.52,0.75,0.38,0.39,0.51
a_1,0.55,0.54,0.49,0.59,0.38,1.72,0.59,0.56,0.67,0.57,0.5,0.53,0.6,0.18,0.45,0.55
h_1,0.67,1.16,0.67,0.69,0.65,0.54,1.69,0.82,0.82,0.76,0.78,0.81,0.62,0.88,0.66,0.83
d_0,0.54,0.85,1.24,0.37,0.84,0.6,0.87,1.48,0.73,0.79,0.92,0.94,1.04,0.76,0.82,0.86
g_1,0.68,0.81,0.61,1.02,0.81,0.52,0.76,0.97,1.74,0.94,1.04,0.94,0.88,0.75,0.75,0.6
c_0,0.8,0.94,0.43,0.73,0.51,0.59,1.1,0.91,0.85,1.57,1.63,0.97,0.99,0.98,0.89,0.96
b_0,0.86,0.87,0.75,0.83,0.37,0.64,1.17,0.79,0.67,0.76,1.55,0.96,0.86,1.56,0.74,1.13
f_0,0.67,0.58,0.82,0.81,0.84,0.68,0.91,0.99,0.82,0.92,1.12,1.59,0.94,0.79,1.54,0.66
h_0,0.79,1.08,0.85,0.71,0.65,0.68,0.53,0.8,0.94,0.79,1.03,0.97,0.6,0.81,0.95,1.0
a_0,0.92,0.86,1.05,0.85,0.64,,0.76,1.1,0.78,0.94,0.78,1.01,1.14,1.67,0.84,0.96
e_0,0.38,0.98,0.86,0.82,1.0,0.69,1.03,1.02,0.98,0.92,1.22,0.82,1.07,0.9,1.71,0.97
g_0,0.93,0.61,0.71,1.31,0.88,0.61,0.99,0.82,0.59,0.95,0.79,1.64,1.22,0.84,0.89,0.6
