,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.27,0.61,0.57,0.65,0.47,0.45,0.99,2.09,0.75,1.03,1.16,1.13,1.56,0.76,1.45,0.49
f_1,1.01,2.33,0.58,0.51,0.43,0.31,0.94,1.18,0.83,1.12,1.22,0.49,1.61,0.86,1.19,0.65
d_1,0.61,0.65,2.4,0.42,0.43,0.38,1.04,0.46,1.19,2.21,1.17,1.15,1.43,1.18,1.31,0.88
c_1,0.47,0.59,0.48,2.47,1.03,0.42,1.03,1.3,0.84,0.56,0.92,1.01,1.39,0.95,1.16,0.97
b_1,0.5,0.53,0.56,0.59,2.62,0.93,0.98,1.21,0.79,1.03,0.54,1.2,1.11,0.72,1.03,1.17
a_1,0.61,0.72,0.5,0.62,0.52,3.03,0.97,1.2,0.84,0.94,0.89,1.07,1.43,0.38,1.43,0.9
h_1,0.69,0.98,0.75,0.59,0.54,0.57,3.16,1.43,1.37,1.44,1.46,1.42,1.12,0.92,2.36,1.21
d_0,0.69,0.74,0.36,1.42,0.7,0.44,1.18,2.66,0.96,0.83,1.28,1.29,1.9,1.28,1.55,1.17
g_1,0.6,0.65,1.13,0.64,0.57,0.38,1.13,1.27,3.54,1.41,1.44,2.03,1.79,1.35,0.92,1.27
c_0,0.71,0.8,0.76,0.47,0.41,0.55,1.52,1.14,1.18,2.85,2.77,1.56,2.14,1.47,1.97,1.4
b_0,0.76,0.72,0.8,0.71,0.32,0.47,1.31,1.66,1.06,1.39,3.01,1.75,2.02,2.67,1.95,1.36
f_0,0.57,0.5,0.71,0.75,0.76,0.54,1.42,1.58,1.22,1.29,1.5,3.0,1.88,1.26,2.04,2.49
h_0,0.7,0.98,0.77,0.7,0.58,0.38,0.75,1.36,1.53,1.27,1.55,1.48,1.05,1.09,1.96,1.12
a_0,0.73,0.82,0.76,0.75,0.62,0.19,1.31,1.39,1.24,1.32,1.57,1.56,2.35,3.21,1.57,1.16
g_0,0.66,0.56,1.14,0.75,0.61,0.53,1.06,1.32,0.7,1.13,1.34,2.21,1.68,1.1,1.22,1.57
e_0,0.34,0.75,0.78,0.96,0.72,0.66,1.19,1.28,1.06,1.26,1.52,1.53,1.96,1.06,1.46,3.31
