,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,14.38,1.26,0.45,0.53,0.5,0.49,0.81,0.78,0.81,0.95,0.97,0.4,0.94,0.86,0.66,0.78
e_1,0.67,15.59,0.52,0.68,0.47,0.5,0.88,1.03,0.94,2.11,1.05,0.95,0.97,1.02,0.47,0.83
d_1,0.59,0.5,17.04,0.54,0.48,0.62,0.86,0.86,1.94,0.37,1.12,0.95,0.95,0.96,1.0,1.03
c_1,0.56,0.41,0.49,17.71,1.44,0.53,0.87,0.82,0.33,0.72,0.74,0.95,0.92,0.9,0.91,1.01
b_1,0.56,0.51,0.64,0.51,19.41,1.25,0.96,0.84,0.89,0.74,0.44,1.12,0.88,0.68,1.03,0.81
a_1,0.5,0.46,0.74,0.68,0.61,31.19,0.92,0.76,0.85,0.78,0.69,0.85,0.89,0.45,1.04,1.32
h_1,0.93,0.69,0.81,0.75,0.61,0.72,4.48,1.43,0.82,1.05,1.34,1.26,0.85,1.23,1.09,1.76
g_1,0.47,0.65,1.39,0.7,0.57,0.78,1.08,6.21,1.35,1.1,1.09,2.18,1.42,1.23,1.47,0.59
c_0,1.0,0.71,0.77,0.39,0.53,0.8,1.24,1.05,3.09,1.28,3.09,1.24,1.23,1.54,1.42,1.52
d_0,0.73,0.66,0.43,1.98,0.7,0.72,1.05,1.22,0.69,3.08,1.05,1.31,1.26,1.18,1.32,0.95
b_0,0.76,0.72,0.82,0.93,0.39,0.49,1.44,1.2,1.11,1.41,3.86,1.25,1.57,3.13,1.66,1.46
f_0,0.55,0.61,0.97,0.85,0.73,0.74,1.23,1.18,1.15,1.07,1.36,3.84,1.41,1.13,3.17,1.32
h_0,1.05,0.64,0.97,0.73,0.75,0.63,0.62,1.43,1.17,1.11,0.96,1.29,0.62,1.09,1.34,1.51
a_0,0.82,0.75,0.9,0.86,0.68,0.29,1.2,1.34,1.28,1.21,1.13,1.23,1.82,4.19,1.36,1.41
e_0,1.19,0.34,0.97,0.73,0.75,0.48,1.49,1.14,1.32,1.08,1.28,1.29,1.73,1.36,5.13,1.17
g_0,0.63,0.55,1.41,0.76,0.88,0.69,1.03,0.53,1.08,0.97,1.06,2.28,1.22,1.46,1.33,0.82
