,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.19,1.2,1.26,1.72,2.97,19.3,21.6,36.45,32.31,39.42,40.22,69.05,84.68,76.85,75.75
e_1,0.84,1.0,0.78,1.47,1.89,3.59,18.45,27.05,25.22,48.34,33.79,45.55,74.1,87.08,85.81,99.45
f_1,0.84,1.28,1.0,1.5,1.71,2.9,12.7,31.5,23.43,27.16,33.39,39.11,58.35,61.41,64.66,71.25
c_1,0.79,0.68,0.67,1.0,1.85,2.39,12.93,15.68,13.49,16.34,22.83,29.59,47.66,36.9,37.19,73.17
b_1,0.58,0.53,0.58,0.54,1.0,3.26,9.37,13.98,15.12,15.88,27.38,21.07,28.58,34.88,52.28,54.2
a_1,0.34,0.28,0.34,0.42,0.31,1.0,4.55,8.5,7.2,10.75,11.92,12.04,31.89,25.12,25.45,25.49
h_1,0.05,0.05,0.08,0.08,0.1,0.21,1.0,2.03,1.62,2.0,2.03,2.15,3.99,3.68,4.7,6.15
g_1,0.05,0.04,0.03,0.07,0.07,0.12,0.51,1.0,0.94,0.99,1.42,1.63,2.55,3.38,3.43,3.68
c_0,0.03,0.04,0.04,0.08,0.07,0.13,0.62,1.06,1.0,1.42,1.71,1.53,2.98,2.73,3.21,3.65
d_0,0.03,0.02,0.04,0.06,0.06,0.1,0.51,1.03,0.71,1.0,1.05,1.32,2.31,2.34,2.45,2.95
b_0,0.03,0.03,0.03,0.04,0.04,0.09,0.47,0.72,0.54,0.99,1.0,1.07,2.44,3.22,2.22,3.21
f_0,0.02,0.02,0.02,0.04,0.05,0.09,0.45,0.63,0.69,0.76,0.94,1.0,2.27,1.91,3.04,1.77
h_0,0.01,0.01,0.02,0.02,0.03,0.03,0.23,0.4,0.33,0.43,0.42,0.46,1.0,1.02,0.94,1.48
a_0,0.01,0.01,0.02,0.03,0.03,0.04,0.28,0.31,0.36,0.48,0.32,0.56,0.96,1.0,1.05,1.19
e_0,0.01,0.01,0.02,0.03,0.02,0.04,0.21,0.3,0.33,0.4,0.48,0.33,1.1,0.94,1.0,1.27
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.17,0.27,0.28,0.34,0.31,0.59,0.68,0.8,0.79,1.0
