,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.86,1.13,1.37,1.7,5.58,18.13,28.23,60.55,38.76,48.02,49.36,84.67,76.69,,97.85
f_1,1.17,1.0,1.25,1.27,1.83,5.11,15.91,31.37,32.4,32.3,48.98,,59.52,82.61,81.29,159.95
d_1,0.88,0.8,1.0,0.9,1.21,2.57,13.6,16.01,,36.13,32.88,40.22,69.28,50.43,97.99,78.34
c_1,0.73,0.79,1.11,1.0,1.4,2.46,14.05,17.63,14.51,,28.95,37.23,48.88,73.25,86.06,76.18
b_1,0.59,0.55,0.83,0.71,1.0,3.54,10.87,25.39,15.45,22.62,,24.88,42.53,43.72,64.14,61.82
a_1,0.18,0.2,0.39,0.41,0.28,1.0,3.99,6.73,7.16,,,12.97,22.74,,23.28,34.35
h_1,0.06,0.06,0.07,0.07,0.09,0.25,1.0,1.54,1.41,1.69,1.88,2.88,,4.52,6.06,7.38
g_1,0.04,0.03,0.06,0.06,0.04,0.15,0.65,1.0,0.84,0.99,1.16,1.76,2.05,2.58,,
d_0,0.02,0.03,,0.07,0.06,0.14,0.71,1.19,1.0,1.02,1.38,1.4,2.3,2.97,3.31,4.02
c_0,0.03,0.03,0.03,,0.04,,0.59,1.01,0.98,1.0,1.7,1.38,2.6,2.29,3.19,3.19
b_0,0.02,0.02,0.03,0.03,,,0.53,0.86,0.73,0.59,1.0,0.81,1.91,3.78,,2.9
f_0,0.02,,0.02,0.03,0.04,0.08,0.35,0.57,0.71,0.73,1.24,1.0,2.01,,3.26,2.12
h_0,0.01,0.02,0.01,0.02,0.02,0.04,,0.49,0.44,0.38,0.52,0.5,,1.15,1.1,2.02
a_0,0.01,0.01,0.02,0.01,0.02,,0.22,0.39,0.34,0.44,0.26,,0.87,1.0,,1.12
e_0,,0.01,0.01,0.01,0.02,0.04,0.16,,0.3,0.31,,0.31,0.91,,1.0,0.96
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.14,,0.25,0.31,0.34,0.47,0.5,0.89,1.05,
