,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.42,0.91,1.28,1.29,1.13,1.46,0.72,0.68,0.8,0.59,0.68,0.68,0.72,0.58,0.46,1.57
f_1,1.31,0.41,1.29,1.19,1.14,1.45,0.57,1.08,0.6,0.53,0.55,1.23,0.56,0.35,0.64,0.45
d_1,1.45,1.18,0.4,1.38,1.23,1.26,0.79,0.51,1.07,0.6,0.67,0.49,0.52,0.48,0.38,0.52
c_1,1.29,1.35,1.48,0.39,1.59,1.05,0.64,0.6,0.35,0.95,0.55,0.5,0.62,0.52,0.56,0.6
b_1,1.61,1.55,1.25,0.78,0.36,1.51,0.62,0.67,0.6,0.66,1.0,0.84,0.67,0.49,0.45,0.46
a_1,1.37,1.27,1.22,1.81,0.85,0.29,1.05,0.64,0.67,0.6,0.56,0.52,1.54,0.52,0.45,0.68
h_1,0.97,0.96,0.9,1.02,1.12,0.77,0.26,0.51,0.44,0.49,0.47,0.4,0.39,0.64,0.48,0.48
g_1,0.95,0.9,1.09,1.06,1.07,0.97,0.44,0.24,0.42,0.42,0.37,0.41,0.37,0.29,0.45,0.41
d_0,0.56,1.04,2.1,1.2,1.02,0.88,0.54,0.65,0.27,0.46,0.44,0.42,0.37,0.41,0.36,0.37
c_0,0.85,1.24,0.58,2.06,1.16,0.99,0.52,0.53,0.51,0.27,0.52,0.53,0.45,0.39,0.39,0.42
b_0,0.88,0.89,0.77,1.2,2.14,1.04,0.49,0.58,0.45,0.28,0.25,0.44,0.48,0.45,0.45,0.39
f_0,0.85,1.59,0.97,0.97,0.83,1.06,0.51,0.38,0.4,0.35,0.38,0.25,0.45,0.54,0.23,0.49
a_0,0.87,0.93,0.99,1.05,1.04,,0.55,0.61,0.56,0.38,0.27,0.4,0.22,0.29,0.36,0.57
h_0,0.84,1.32,0.86,0.89,1.0,0.79,0.7,0.72,0.44,0.43,0.38,0.35,0.55,0.58,0.37,0.35
g_0,0.92,0.86,1.16,0.93,1.11,0.95,0.4,0.78,0.44,0.39,0.38,0.5,0.38,0.28,0.5,0.39
e_0,0.85,1.35,1.1,0.94,1.06,0.71,0.43,0.49,0.37,0.52,0.45,0.22,0.34,0.37,0.36,0.2
