,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.07,3.22,2.33,3.17,3.38,3.11,1.28,1.36,1.24,0.88,1.05,1.03,0.94,0.93,1.86,0.77
d_1,3.98,1.07,3.84,3.37,3.11,2.49,1.63,0.85,2.6,1.09,1.01,0.84,0.58,1.08,0.77,0.56
f_1,4.01,3.28,1.07,2.99,3.28,3.78,0.91,1.34,0.87,0.93,0.9,1.98,0.59,1.02,0.76,0.82
c_1,3.47,4.02,3.58,1.07,4.35,2.84,1.37,1.23,0.72,2.09,0.91,1.02,0.81,0.81,0.93,0.64
b_1,3.55,3.93,3.83,2.36,1.07,4.43,1.78,1.63,1.27,1.37,2.16,1.18,0.88,0.8,1.06,0.94
a_1,5.13,6.03,4.79,6.77,2.79,1.07,1.55,2.48,1.73,1.74,1.7,1.43,1.57,2.39,1.62,1.21
h_1,7.67,6.26,9.81,7.86,6.03,7.14,1.38,2.84,2.37,2.39,2.57,2.15,2.76,1.77,1.66,1.72
g_1,8.64,8.5,8.5,7.55,6.81,5.65,2.55,1.39,2.16,2.25,2.25,2.68,1.59,1.77,2.04,2.69
d_0,5.02,13.36,10.07,10.17,9.16,7.23,3.21,4.06,1.62,2.89,2.71,2.43,2.01,2.19,2.12,1.88
c_0,9.46,5.55,8.84,17.72,8.52,7.36,3.23,3.73,3.06,1.65,2.95,2.69,2.13,2.68,2.1,1.57
b_0,8.41,8.01,9.57,12.01,22.18,6.97,3.05,3.49,2.59,1.48,1.59,2.44,2.12,2.16,2.02,1.8
f_0,9.49,10.55,16.3,12.71,10.72,7.07,3.73,2.48,3.17,2.95,2.9,1.61,2.25,2.19,2.78,1.43
h_0,11.44,14.95,13.38,12.07,12.76,8.75,7.21,4.9,3.41,3.63,3.78,3.1,4.37,3.09,2.54,2.7
a_0,12.51,11.72,11.2,12.24,16.93,18.12,5.53,5.13,3.74,3.18,2.66,3.79,3.53,1.75,2.73,2.78
e_0,21.7,13.51,15.33,14.91,14.65,11.83,5.64,4.45,4.12,3.96,4.49,2.11,3.01,3.58,1.7,3.64
g_0,13.9,16.62,14.6,18.15,15.06,10.19,4.68,,5.41,5.03,5.07,4.55,2.71,3.69,3.11,4.58
