,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.09,3.16,3.1,2.87,2.91,2.87,0.71,0.54,0.51,0.83,0.55,0.5,0.57,0.38,0.51,0.25
f_1,2.7,1.1,2.83,3.1,2.99,2.77,0.63,0.98,0.64,0.64,0.6,0.91,0.57,0.32,0.65,0.47
e_1,3.41,2.07,1.11,4.05,3.4,3.43,1.04,1.04,0.64,0.69,0.77,0.88,0.7,0.49,1.04,0.55
c_1,4.32,3.99,2.65,1.11,3.22,2.93,1.04,1.06,1.08,0.37,0.59,0.7,0.59,0.49,0.63,0.52
b_1,4.84,4.3,3.88,2.32,1.12,3.48,1.47,1.42,1.18,0.81,1.38,0.9,0.89,0.7,0.71,0.68
a_1,5.87,6.93,6.17,4.75,2.66,1.13,1.99,1.77,1.49,1.15,1.54,1.19,1.76,0.93,1.26,1.07
h_1,10.2,11.17,11.59,11.27,12.2,9.02,1.59,3.05,2.47,2.44,2.42,2.15,2.3,2.19,2.2,1.55
g_1,14.66,14.66,15.33,13.72,12.9,12.79,3.12,1.62,2.74,2.92,2.82,2.51,2.72,1.45,2.61,2.34
c_0,8.61,15.21,15.12,27.68,16.26,16.04,3.95,4.55,1.94,5.65,2.98,2.7,3.03,2.2,2.85,1.92
d_0,22.61,14.15,9.43,16.78,15.97,14.83,4.64,5.28,3.54,2.13,3.65,3.75,4.05,2.48,3.5,2.42
b_0,11.99,17.29,14.98,24.65,26.56,16.31,3.92,4.09,1.94,4.07,2.02,3.2,3.23,2.33,3.12,2.21
f_0,16.76,26.75,19.77,19.72,20.64,15.17,4.93,3.06,3.64,4.23,3.37,1.98,3.55,2.68,3.38,1.76
a_0,18.31,20.14,21.17,25.44,27.66,30.11,6.81,5.28,3.72,4.98,2.64,4.71,2.26,3.13,4.72,3.62
h_0,19.86,23.2,22.78,23.03,22.55,22.49,8.33,5.91,5.37,4.78,4.55,4.89,3.94,4.66,3.87,3.31
e_0,24.38,43.12,32.49,26.07,25.8,19.97,6.81,5.2,4.93,5.87,5.81,2.47,5.15,4.23,2.18,2.92
g_0,25.54,29.56,29.56,25.24,27.66,24.16,5.8,9.11,6.11,6.76,5.49,4.8,5.77,3.39,5.11,5.16
