,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.42,1.11,1.54,1.31,1.39,1.07,0.58,0.63,0.73,0.53,0.59,0.89,0.32,0.63,0.44,0.54
d_1,1.43,0.4,1.27,1.21,1.08,1.2,0.85,0.98,0.53,0.84,0.52,0.6,0.48,0.56,0.54,0.37
e_1,0.78,1.6,0.4,1.39,1.36,1.38,0.65,0.77,0.82,0.49,0.61,0.64,0.58,0.53,1.37,0.63
c_1,1.24,1.51,1.23,0.39,1.7,1.38,0.56,0.33,0.79,1.08,0.5,0.55,0.54,0.58,0.49,0.5
b_1,1.25,1.34,1.29,0.85,0.37,1.39,0.83,0.64,0.64,0.68,1.23,0.5,0.55,0.67,0.83,0.52
a_1,1.9,1.41,1.12,1.21,0.81,0.31,0.76,0.59,0.87,0.61,0.62,0.6,0.53,1.08,0.68,0.45
h_1,0.95,0.85,1.05,1.27,0.9,1.01,0.26,0.41,0.58,0.41,0.43,0.47,0.57,0.39,0.39,0.41
d_0,1.04,2.03,0.55,1.13,1.05,1.03,0.64,0.28,0.42,0.38,0.42,0.39,0.38,0.36,0.47,0.43
g_1,1.01,1.01,0.95,0.91,1.1,0.86,0.44,0.59,0.23,0.45,0.48,0.51,0.33,0.51,0.5,0.57
c_0,1.16,0.52,1.06,1.83,1.03,0.84,0.52,0.52,0.61,0.26,0.54,0.41,0.49,0.39,0.39,0.37
b_0,0.91,0.97,0.88,1.19,1.95,1.15,0.47,0.36,0.46,0.24,0.26,0.4,0.36,0.49,0.46,0.31
f_0,2.62,0.9,0.88,0.9,1.01,0.87,0.5,0.43,0.35,0.41,0.46,0.24,0.33,0.45,0.51,0.24
h_0,1.29,0.84,0.87,0.96,0.88,0.9,0.68,0.48,0.49,0.38,0.38,0.46,0.63,0.33,0.38,0.51
a_0,1.14,0.8,1.03,0.89,1.21,,0.51,0.48,0.5,0.49,0.27,0.44,0.42,0.21,0.32,0.32
e_0,1.66,0.83,1.1,1.24,0.92,0.72,0.47,0.44,0.41,0.43,0.37,0.26,0.34,0.53,0.2,0.29
g_0,0.95,1.04,0.97,0.96,0.88,0.94,0.46,0.41,0.76,0.44,0.46,0.51,0.27,0.37,0.41,0.52
