,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.37,1.17,1.04,1.44,1.31,1.21,2.21,4.49,2.51,2.48,3.13,3.3,2.38,3.29,2.02,3.58
f_1,1.79,2.44,1.24,1.18,1.04,1.0,2.0,2.38,2.41,2.62,2.49,1.58,2.82,3.08,2.14,2.95
d_1,1.31,1.24,2.54,1.02,1.1,1.19,2.57,1.82,2.26,4.26,3.11,2.74,2.94,3.46,3.28,3.25
c_1,1.12,1.2,1.27,2.57,1.94,1.23,2.43,2.15,2.03,1.46,2.13,2.6,2.45,3.49,2.61,3.69
b_1,1.05,1.34,1.41,1.1,2.76,2.07,2.24,2.68,2.38,2.59,1.53,2.81,2.23,3.29,3.22,2.74
a_1,1.3,1.4,1.11,1.42,1.06,3.35,2.65,2.3,2.47,2.72,3.2,2.81,1.74,3.32,2.62,3.15
h_1,1.42,1.82,1.35,1.3,1.35,1.11,4.02,2.7,2.69,2.61,2.78,2.63,3.0,2.9,2.89,4.37
d_0,1.06,1.35,1.01,2.37,1.35,1.45,2.51,4.06,2.82,2.17,3.16,2.99,3.13,3.95,2.95,3.44
g_1,1.16,1.07,1.89,1.47,1.33,1.26,2.73,2.6,4.57,3.24,2.86,4.17,3.37,3.47,3.34,3.39
c_0,1.4,1.44,1.33,1.35,0.98,1.19,3.04,3.38,2.82,4.2,5.32,3.21,3.64,3.77,3.28,4.26
b_0,1.27,1.58,1.3,1.61,1.13,1.1,3.04,2.96,2.95,2.47,4.38,3.18,5.63,3.86,3.1,3.78
f_0,0.97,1.24,1.56,1.55,1.44,1.34,3.05,2.99,2.47,2.99,3.34,4.52,3.43,3.84,5.78,3.72
a_0,1.58,1.3,1.3,1.52,1.52,1.25,2.94,2.97,2.51,2.52,2.32,3.1,4.95,3.9,3.31,3.42
h_0,1.35,1.72,1.44,1.34,1.24,1.11,1.88,2.81,3.24,2.87,2.84,2.98,2.96,3.05,2.9,4.83
e_0,0.96,1.57,1.44,1.44,1.33,1.63,2.71,2.75,2.71,3.39,3.53,2.72,3.08,4.35,5.01,3.84
g_0,1.2,1.31,1.9,1.31,1.6,1.14,2.42,2.65,1.91,2.65,2.94,4.24,3.03,3.5,3.51,2.96
