,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,2.43,0.84,0.79,0.64,0.72,0.88,1.57,0.56,1.25,2.71,1.84,1.63,1.95,1.98,1.67,1.86
e_1,0.68,2.45,0.64,0.89,0.74,0.78,1.52,2.75,1.61,1.61,1.8,1.91,2.17,1.8,1.27,2.0
f_1,0.78,1.21,2.48,0.79,0.62,0.84,1.37,1.59,1.78,1.61,0.67,1.64,1.53,1.56,1.22,1.62
c_1,0.82,0.79,0.79,2.53,1.2,0.67,1.28,1.37,1.36,0.74,1.65,1.33,2.51,1.49,1.33,2.61
b_1,0.82,0.7,0.77,0.71,2.78,1.23,1.71,1.45,1.35,1.73,1.56,0.63,1.94,1.39,1.85,2.34
a_1,0.76,0.77,0.57,0.76,0.75,3.19,1.73,1.98,1.59,1.88,2.01,1.84,2.38,0.93,2.18,2.0
h_1,0.99,0.8,1.49,1.12,0.87,0.72,3.96,2.14,2.69,2.06,2.02,2.09,1.81,2.05,2.26,2.97
d_0,0.73,0.84,1.0,1.77,1.16,0.97,1.93,3.57,1.46,1.74,2.22,2.0,2.62,1.84,2.12,2.82
g_1,1.44,0.85,0.87,0.95,1.11,0.85,1.4,2.52,4.38,2.09,3.03,2.49,2.62,2.64,2.92,1.16
c_0,0.87,0.99,1.32,0.5,0.88,0.82,2.46,2.66,1.92,3.84,2.62,4.57,3.34,2.56,2.76,3.9
f_0,1.04,0.86,0.81,1.23,1.16,0.94,2.04,2.48,2.23,1.96,3.93,2.57,3.31,2.28,4.04,2.41
b_0,1.15,0.92,1.21,1.29,0.58,0.82,1.97,2.61,1.9,1.8,2.59,4.04,3.32,4.27,2.68,2.53
h_0,1.27,0.89,1.65,0.87,1.0,0.69,0.89,2.18,2.13,1.63,1.99,2.19,1.79,2.24,2.16,3.0
a_0,1.05,1.04,1.27,1.15,0.89,,2.32,2.64,1.21,2.28,2.94,1.84,2.98,4.67,3.07,2.74
e_0,1.22,0.37,1.36,1.17,1.0,0.87,2.21,2.75,1.68,2.05,2.11,2.35,3.05,2.19,4.69,3.08
g_0,1.4,0.83,1.2,0.87,0.92,0.92,1.85,1.89,1.79,2.01,3.62,2.72,2.92,2.64,2.19,2.06
