,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.08,2.13,2.15,2.35,2.12,1.87,0.51,0.68,0.44,0.46,0.42,0.55,0.26,0.4,0.46,0.32
d_1,2.46,1.08,2.78,2.52,2.18,2.02,0.61,0.46,0.5,0.74,0.5,0.47,0.33,0.48,0.44,0.22
e_1,1.63,2.58,1.1,2.58,2.56,2.5,0.76,0.79,0.54,0.55,0.46,0.68,0.37,0.47,0.75,0.47
c_1,2.84,3.37,2.31,1.1,2.53,2.4,0.77,0.79,0.84,0.35,0.61,0.51,0.41,0.56,0.49,0.45
b_1,3.37,3.36,3.12,1.83,1.11,3.17,1.06,0.93,0.87,0.63,0.83,0.7,0.46,0.71,0.65,0.44
a_1,4.79,4.69,4.61,4.02,2.31,1.12,1.57,1.5,0.9,1.09,1.2,0.97,0.68,1.2,0.97,0.66
h_1,10.84,8.81,8.94,9.86,9.26,7.97,1.54,2.46,1.77,2.12,1.81,1.67,1.81,1.75,1.74,1.28
g_1,11.43,10.64,10.83,11.5,11.92,9.13,2.37,1.56,2.17,2.43,2.03,2.09,1.35,2.21,1.95,1.75
c_0,12.36,7.32,13.22,18.36,12.41,11.64,3.5,3.22,1.74,4.36,2.43,2.37,1.89,2.45,2.3,1.49
d_0,12.01,19.68,7.61,12.54,12.58,13.05,3.79,4.58,2.87,1.83,2.44,3.08,2.12,2.62,2.66,2.59
b_0,14.12,10.77,12.73,17.82,18.92,13.05,4.19,3.88,1.76,3.54,1.9,2.69,2.11,2.87,2.86,1.91
f_0,22.38,14.34,15.11,15.01,13.73,14.62,3.86,3.15,3.14,3.35,3.03,1.84,2.45,3.07,2.79,1.39
h_0,16.59,16.87,16.4,16.48,14.7,12.87,5.18,4.9,3.52,3.87,3.33,3.12,2.97,2.85,3.22,2.45
a_0,21.13,16.48,18.2,18.14,22.36,23.71,5.76,5.01,3.34,3.92,2.25,3.79,2.99,2.04,3.65,2.75
e_0,27.82,18.85,22.14,20.05,18.4,16.76,5.53,5.08,3.87,4.48,4.02,2.37,3.28,4.11,2.04,2.23
g_0,25.56,21.74,19.98,21.46,21.3,18.69,4.78,6.66,4.52,4.91,4.11,3.58,2.59,4.33,4.32,3.72
