,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.23,0.96,0.89,0.83,0.64,0.42,0.43,0.41,0.38,0.38,0.38,0.3,0.33,0.24,0.32
e_1,0.81,1.0,1.22,0.91,0.95,0.6,0.52,0.58,0.59,0.43,0.41,0.44,0.34,0.33,0.31,0.35
c_1,1.04,0.82,1.0,1.17,1.19,0.79,0.49,0.45,0.32,0.3,0.37,0.35,0.36,0.34,0.36,0.31
d_1,1.12,1.11,0.85,1.0,0.99,0.67,0.51,0.37,0.41,0.56,0.48,0.41,0.4,0.36,0.37,0.25
b_1,1.21,1.05,0.83,1.01,1.0,1.25,0.59,0.51,0.53,0.57,0.4,0.44,0.4,0.34,0.37,0.4
a_1,1.56,1.64,1.26,1.5,0.81,1.0,0.8,0.6,0.51,0.52,0.59,0.48,0.5,0.37,0.4,0.38
h_1,2.4,1.9,2.05,1.96,1.66,1.19,1.0,0.99,0.82,0.78,0.83,0.67,0.85,0.65,0.62,0.82
g_1,2.29,1.73,2.29,2.71,2.01,1.75,1.02,1.0,0.98,0.97,0.91,1.2,0.66,1.03,0.8,0.69
d_0,2.44,1.64,3.21,2.36,1.94,1.92,1.19,1.01,1.0,0.81,0.99,0.87,0.9,0.81,0.73,0.87
c_0,2.74,2.35,2.95,1.76,1.81,1.85,1.29,1.03,1.21,1.0,1.27,0.88,0.95,0.94,0.88,0.75
b_0,2.71,2.47,2.83,2.08,2.46,1.62,1.2,1.06,1.0,0.74,1.0,1.0,1.0,1.15,0.88,0.96
f_0,2.63,2.11,3.0,2.39,2.24,2.02,1.43,0.85,1.1,1.16,0.98,1.0,1.04,0.81,1.28,0.81
h_0,3.46,2.87,2.69,2.63,2.62,2.17,1.19,1.52,1.09,1.04,0.97,1.01,1.0,0.94,0.74,1.01
a_0,3.17,3.08,3.17,2.72,2.9,2.41,1.56,0.97,1.15,1.07,0.84,1.23,1.0,1.0,0.72,0.94
e_0,4.22,3.07,2.83,2.61,2.54,2.42,1.61,1.28,1.42,1.12,1.11,0.85,1.43,1.35,1.0,0.94
g_0,3.07,2.9,3.33,3.65,2.49,2.71,1.23,1.45,1.15,1.23,1.05,1.28,0.99,1.06,1.03,1.0
