,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.61,1.2,0.55,0.58,0.61,0.58,0.85,0.75,0.87,0.95,0.89,0.4,0.85,0.72,0.78,0.87
e_1,0.78,2.63,0.57,0.88,0.53,0.59,0.95,0.83,0.77,1.56,0.93,0.96,0.94,0.85,0.57,0.98
d_1,0.66,0.6,2.75,0.44,0.66,0.69,0.86,1.86,0.98,0.55,1.2,1.09,1.11,1.12,1.14,0.98
c_1,0.59,0.54,0.62,3.05,1.29,0.45,0.78,0.29,0.84,0.72,0.7,0.86,0.96,1.0,0.95,1.02
b_1,0.65,0.56,0.78,0.51,3.04,1.28,0.93,0.83,0.85,0.86,0.39,0.93,0.92,0.64,0.84,0.95
a_1,0.7,0.62,0.69,0.75,0.55,4.16,1.14,0.87,0.74,1.09,0.88,1.03,1.01,0.56,0.81,0.99
h_1,1.13,0.76,0.8,0.83,0.64,0.84,2.54,1.05,1.32,0.95,1.2,0.96,0.73,1.4,1.02,1.46
c_0,0.93,0.79,0.93,0.58,0.6,0.7,1.07,2.11,1.43,1.12,2.41,1.37,1.3,1.51,1.24,1.12
g_1,0.58,0.72,1.42,0.74,0.78,0.67,0.9,1.2,3.24,0.82,1.02,1.9,1.14,1.04,0.96,0.78
d_0,0.83,0.85,0.54,1.56,0.7,0.65,1.23,0.85,1.01,2.0,1.21,0.95,1.26,1.17,1.15,0.93
b_0,0.95,0.81,0.87,0.92,0.4,0.57,1.18,1.26,1.16,1.04,2.5,1.24,1.27,2.66,1.32,1.04
f_0,0.53,0.57,0.9,0.94,0.88,0.71,1.16,1.41,1.25,1.13,1.38,2.56,1.41,1.7,2.93,1.19
h_0,1.15,0.74,0.92,0.88,0.66,0.52,0.69,1.16,1.46,1.07,1.07,1.13,0.7,1.06,1.33,1.37
a_0,0.92,0.77,0.91,1.06,0.73,0.29,1.24,1.11,1.36,1.12,1.32,1.33,1.26,2.84,1.53,1.1
e_0,0.77,0.45,0.87,1.04,0.86,0.71,1.18,1.3,1.41,1.16,1.49,1.33,1.31,1.3,3.27,1.4
g_0,0.6,0.71,1.31,0.84,0.63,0.74,1.08,1.09,1.0,1.12,1.44,2.1,1.01,1.15,1.42,0.73
