,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.43,0.68,1.25,1.35,1.29,1.25,0.37,0.37,0.26,0.22,0.34,0.27,0.17,0.22,0.39,0.25
f_1,0.99,0.42,1.13,1.26,1.32,0.99,0.25,0.39,0.24,0.22,0.35,0.24,0.13,0.24,0.2,0.18
d_1,1.62,1.34,0.4,1.18,1.1,1.07,0.32,0.23,0.43,0.23,0.23,0.24,0.16,0.26,0.19,0.11
c_1,1.0,1.2,1.47,0.4,1.38,1.28,0.33,0.33,0.15,0.37,0.24,0.22,0.18,0.25,0.27,0.18
b_1,1.25,1.72,1.18,0.77,0.4,1.28,0.39,0.33,0.3,0.31,0.24,0.36,0.18,0.24,0.27,0.19
a_1,1.68,1.85,1.56,1.59,0.8,0.33,0.45,0.56,0.34,0.3,0.29,0.54,0.25,0.92,0.3,0.2
h_1,1.9,2.21,2.05,2.17,2.12,1.9,0.31,0.54,0.5,0.39,0.41,0.49,0.46,0.43,0.36,0.34
g_1,2.32,2.62,2.08,2.64,2.34,1.9,0.53,0.28,0.53,0.48,0.49,0.48,0.23,0.43,0.4,0.4
d_0,1.43,2.34,4.14,2.54,2.64,2.5,0.79,0.78,0.33,0.46,0.58,0.47,0.36,0.51,0.53,0.53
c_0,2.92,2.66,1.51,3.73,2.76,2.24,0.81,0.74,0.78,0.33,0.67,0.5,0.42,0.52,0.45,0.38
f_0,2.73,4.31,2.5,2.75,2.39,2.27,0.8,0.46,0.59,0.48,0.3,0.55,0.4,0.45,0.58,0.24
b_0,2.52,2.71,2.13,3.88,3.38,2.5,0.7,0.96,0.62,0.27,0.61,0.3,0.37,0.49,0.49,0.38
h_0,2.98,3.01,2.86,2.85,2.97,2.36,1.13,0.9,0.66,0.65,0.58,0.59,0.65,0.63,0.5,0.42
a_0,3.08,3.39,2.73,3.3,4.02,4.39,1.0,0.9,0.67,0.53,0.64,0.31,0.39,0.28,0.64,0.54
e_0,5.16,3.93,3.04,3.53,2.73,2.59,0.78,0.79,0.84,0.63,0.38,0.71,0.62,0.6,0.29,0.36
g_0,3.4,4.27,3.35,3.29,3.17,3.47,0.65,1.08,0.78,0.66,0.56,0.75,0.38,0.54,0.59,0.55
