,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.86,1.14,1.45,1.61,3.77,22.88,34.9,40.84,38.22,44.93,54.82,77.58,106.54,120.57,132.02
f_1,1.17,1.0,0.97,1.04,1.23,2.43,14.17,23.78,28.71,27.73,36.87,37.62,57.8,72.44,96.82,70.93
d_1,0.87,1.03,1.0,0.95,1.15,2.53,17.94,25.54,21.89,39.09,46.12,37.55,67.22,74.64,70.99,86.89
c_1,0.69,0.96,1.06,1.0,1.63,2.46,17.92,15.24,26.67,22.1,30.17,31.74,59.85,70.6,85.5,93.18
b_1,0.62,0.81,0.85,0.61,1.0,3.05,14.92,17.58,23.02,24.67,27.9,33.54,48.63,56.8,68.73,90.51
a_1,0.26,0.41,0.4,0.41,0.32,1.0,6.64,8.24,12.22,11.19,19.45,15.68,27.22,38.5,32.08,35.95
h_1,0.04,0.07,0.06,0.06,0.07,0.15,1.0,1.37,1.95,1.71,1.81,2.13,3.78,4.27,7.32,5.95
d_0,0.03,0.04,0.04,0.07,0.06,0.12,0.73,1.0,1.34,1.02,1.75,1.79,3.27,3.18,4.49,4.32
g_1,0.03,0.03,0.05,0.04,0.04,0.08,0.52,0.71,1.0,0.94,1.28,1.66,1.95,2.67,3.19,3.79
c_0,0.03,0.03,0.03,0.05,0.04,0.09,0.59,0.93,1.02,1.0,1.89,1.39,2.48,2.94,3.23,3.46
b_0,0.02,0.03,0.02,0.03,0.03,0.05,0.55,0.55,0.78,0.53,1.0,1.09,1.86,2.9,2.19,2.18
f_0,0.02,0.03,0.03,0.03,0.03,0.07,0.47,0.58,0.59,0.7,0.9,1.0,1.71,1.85,2.03,3.68
h_0,0.01,0.02,0.01,0.02,0.02,0.03,0.27,0.31,0.52,0.39,0.55,0.55,1.0,1.08,1.55,1.5
a_0,0.01,0.01,0.01,0.01,0.02,0.03,0.23,0.31,0.37,0.34,0.34,0.49,0.97,1.0,1.48,1.21
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.14,0.23,0.32,0.33,0.45,0.48,0.67,0.71,1.0,1.15
e_0,0.01,0.01,0.01,0.01,0.01,0.02,0.18,0.23,0.31,0.3,0.45,0.26,0.68,0.82,0.91,1.0
