,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,100.37,22.82,13.82,19.06,24.23,68.83,2092.66,3500.7,4326.17,5428.8,5854.3,,26023.71,22600.08,30223.42,26706.59
e_1,9.51,115.94,14.49,20.7,21.92,54.39,1990.51,2268.76,4488.04,8521.73,4194.57,8955.1,23688.38,17462.56,40976.32,
d_1,13.14,11.66,116.34,15.09,23.88,60.14,1946.33,3853.48,6314.43,,7493.01,7189.74,22526.49,21371.05,29457.75,25322.81
c_1,11.12,11.44,14.19,157.04,32.04,55.68,1792.72,2133.98,,4550.02,5043.08,9261.63,14641.98,,35983.54,23563.18
b_1,9.2,11.53,11.48,15.82,187.29,85.42,1899.11,2104.09,3296.24,3618.82,,7035.07,19621.99,18354.92,24918.32,27280.24
a_1,7.5,7.93,6.69,9.42,11.23,476.92,1105.33,1650.48,2025.1,2165.17,4126.36,5653.88,17150.9,,20670.32,
h_1,6.06,6.05,5.77,8.28,8.02,32.26,3297.08,1460.51,2107.68,2184.11,3898.91,3109.86,,9177.11,21205.12,11858.65
g_1,3.36,4.99,6.1,9.43,10.22,27.87,762.87,4832.48,1833.06,1858.46,2862.0,3937.49,6973.34,6152.79,,
c_0,4.73,4.75,4.9,,9.07,38.03,831.95,1305.08,4459.93,2955.06,4064.32,4266.8,9935.17,8611.0,16601.46,9191.52
d_0,5.0,4.65,,10.91,10.19,37.25,849.54,1492.6,1202.23,5106.34,2713.3,3249.86,9922.22,8775.94,12843.61,12204.98
b_0,4.26,4.92,4.38,7.45,,22.58,694.28,1252.75,1204.64,2017.05,6676.07,2583.02,6243.24,16543.29,15061.85,11850.68
f_0,,4.62,4.34,5.64,8.67,27.61,734.32,830.17,1081.69,2041.3,2899.59,7882.41,7456.49,7905.3,9038.4,18237.34
h_0,3.94,4.25,4.02,6.32,7.93,15.82,,1356.96,1401.86,1479.46,2382.57,2693.53,,9167.71,14587.84,
a_0,2.38,3.14,3.17,,5.19,,451.11,1092.99,1168.58,1153.33,1123.83,2429.96,5723.53,18544.51,8408.07,
g_0,2.97,2.92,4.97,4.57,5.95,22.03,556.04,,984.47,1619.57,1593.14,2951.73,5140.4,6327.59,,
e_0,2.11,,3.58,5.0,5.23,,558.4,,1176.52,1393.11,1453.33,1756.55,,,,22804.44
