,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,1.0,0.79,1.15,1.41,1.79,3.22,21.53,28.43,38.59,29.29,57.92,47.29,75.78,105.4,117.73,
f_1,1.27,1.0,1.13,1.23,1.42,3.09,13.87,28.19,26.71,44.6,45.48,,56.25,101.66,95.59,118.55
d_1,0.87,0.89,1.0,0.89,1.29,3.32,13.28,16.47,,41.64,45.9,40.47,64.46,57.62,103.91,112.01
c_1,0.71,0.81,1.13,1.0,1.44,2.62,16.4,22.73,17.45,,26.53,33.62,63.86,85.4,77.64,71.15
b_1,0.56,0.7,0.77,0.69,1.0,2.53,9.9,19.95,15.63,29.6,,32.61,51.4,65.41,70.59,74.78
a_1,0.31,0.32,0.3,0.38,0.4,1.0,5.7,9.32,8.95,9.02,13.01,13.38,19.41,31.15,,
h_1,0.05,0.07,0.08,0.06,0.1,0.18,1.0,1.5,1.64,1.66,2.68,3.82,,8.25,7.19,7.5
g_1,0.04,0.04,0.06,0.04,0.05,0.11,0.67,1.0,1.06,0.97,1.5,2.14,2.4,,4.67,4.26
d_0,0.03,0.04,,0.06,0.06,0.11,0.61,0.95,1.0,1.14,1.71,2.08,2.58,4.47,4.04,3.85
c_0,0.03,0.02,0.02,,0.03,0.11,0.6,1.03,0.87,1.0,2.14,1.6,1.94,4.31,2.51,
b_0,0.02,0.02,0.02,0.04,,0.08,0.37,0.66,0.58,0.47,1.0,1.08,1.55,2.28,2.43,2.81
f_0,0.02,,0.02,0.03,0.03,0.07,0.26,0.47,0.48,0.62,0.93,1.0,1.62,1.88,2.67,
h_0,0.01,0.02,0.02,0.02,0.02,0.05,,0.42,0.39,0.52,0.64,0.62,,1.82,1.31,2.04
g_0,0.01,0.01,0.02,0.01,0.02,0.03,0.12,,0.22,0.23,0.44,0.53,0.55,,,0.98
a_0,0.01,0.01,0.01,0.01,0.01,,0.14,0.21,0.25,0.4,0.41,0.37,0.77,,1.0,
e_0,,0.01,0.01,0.01,0.01,,0.13,0.23,0.26,,0.36,,0.49,1.02,,1.0
