,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,5.87,1.82,1.8,1.41,1.28,1.69,4.7,4.52,12.13,7.0,7.06,6.18,7.24,10.24,4.14,11.6
f_1,2.77,6.39,1.65,1.36,1.32,1.21,4.07,5.0,7.0,7.17,6.92,2.65,6.5,11.33,6.27,9.14
c_1,1.25,1.46,6.63,1.38,2.82,1.34,5.48,5.38,7.0,5.41,2.49,8.56,7.86,10.58,7.31,11.37
d_1,1.23,1.53,1.34,6.79,1.53,1.54,6.64,6.7,4.31,9.35,13.59,8.15,7.44,9.39,8.97,9.58
b_1,1.44,1.57,1.41,1.44,7.46,3.06,5.74,4.6,6.01,2.81,7.02,6.31,5.45,12.3,6.83,11.2
a_1,1.47,1.62,1.54,1.76,1.43,9.6,7.49,6.03,6.7,6.92,6.76,6.38,4.48,12.03,7.31,10.23
h_1,1.67,2.85,1.56,1.94,2.01,1.44,16.84,9.31,8.15,8.44,8.89,7.5,9.11,9.26,11.02,16.82
g_1,1.59,1.69,1.84,3.06,1.64,1.29,6.63,19.89,6.79,8.53,8.04,13.68,7.38,12.46,12.0,8.52
d_0,1.69,1.99,3.59,1.03,2.05,1.67,6.32,5.88,15.98,9.2,6.12,8.06,9.16,14.46,9.77,11.88
b_0,1.86,1.85,1.96,2.29,0.88,1.52,6.97,7.02,7.74,18.12,11.27,10.35,21.76,15.63,10.84,13.48
c_0,2.02,2.08,1.23,2.13,1.34,1.92,6.8,6.57,9.41,17.62,17.53,10.05,11.18,14.49,10.84,13.24
f_0,1.55,1.2,2.16,2.03,2.34,1.59,6.91,7.36,8.53,9.93,8.68,21.06,11.9,15.26,22.58,12.93
a_0,1.74,2.05,1.84,2.27,2.05,1.05,6.21,6.8,9.16,9.77,9.41,8.36,23.6,18.25,10.87,17.98
h_0,1.88,2.86,1.94,2.14,1.62,1.6,4.42,9.13,7.18,8.04,8.05,8.72,10.25,8.71,8.25,15.26
e_0,1.36,2.26,2.17,1.92,1.65,1.34,6.66,6.61,8.41,9.95,9.5,10.82,12.55,15.88,25.8,16.64
g_0,1.95,1.5,1.79,3.28,1.64,1.56,5.85,3.91,7.71,10.72,8.68,14.6,10.55,12.58,10.06,10.64
