,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,16.43,0.53,0.48,0.76,0.47,0.55,0.89,0.85,2.02,0.99,1.0,0.86,1.13,1.06,0.38,0.73
f_1,1.13,17.79,0.48,0.5,0.43,0.5,0.76,0.61,0.77,0.79,0.92,0.29,0.74,0.77,0.63,0.88
d_1,0.42,0.57,20.51,0.4,0.48,0.51,1.02,0.93,0.44,2.2,1.22,1.12,0.95,0.93,1.1,1.27
c_1,0.47,0.44,0.58,19.5,1.26,0.44,0.85,0.86,0.79,0.28,0.58,0.78,0.9,0.77,0.94,0.84
b_1,0.48,0.62,0.54,0.46,22.2,1.19,0.73,1.03,0.77,0.49,0.29,0.93,0.63,1.1,0.86,0.96
a_1,0.45,0.57,0.52,0.51,0.57,33.91,0.96,0.96,0.72,0.97,1.01,1.02,0.56,1.16,1.2,0.92
h_1,0.49,1.12,0.71,0.73,0.66,0.54,5.64,1.56,0.9,0.98,1.16,1.22,1.1,0.57,1.28,1.71
g_1,0.63,0.45,1.29,0.79,0.58,0.42,1.16,6.69,1.15,1.06,1.04,2.1,1.2,1.46,1.17,0.57
d_0,0.72,0.61,0.33,1.65,0.66,0.63,1.15,1.02,3.11,0.83,1.12,1.23,1.1,1.17,1.33,1.09
c_0,0.66,0.69,0.84,0.45,0.52,0.61,1.15,1.09,1.27,3.64,3.59,1.79,1.58,1.67,1.35,1.32
b_0,0.77,0.79,0.71,0.69,0.33,0.51,1.18,1.04,1.28,1.33,4.49,1.55,3.5,1.45,1.29,1.15
f_0,0.51,0.32,0.78,0.74,0.54,1.17,0.96,1.02,1.63,1.5,1.21,4.93,1.49,1.75,3.57,1.42
a_0,0.7,0.79,0.75,0.64,0.79,0.28,1.28,1.04,1.07,1.28,1.48,1.66,3.74,1.32,1.87,1.49
h_0,0.64,1.2,0.78,0.79,0.66,0.61,0.57,1.15,1.01,1.02,1.14,1.01,1.0,0.58,1.54,1.8
e_0,0.38,0.81,0.69,0.83,0.61,0.77,1.57,1.17,1.01,1.11,1.25,1.32,1.11,1.18,5.22,1.63
g_0,0.47,0.68,1.72,0.71,0.5,0.52,1.01,0.71,0.93,1.44,1.15,2.48,1.0,1.19,1.5,0.78
