,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.55,0.14,0.08,0.07,0.06,0.08,0.35,0.16,0.39,0.53,0.45,,0.59,0.24,0.4,0.61
e_1,0.07,5.7,0.07,0.09,0.09,0.06,0.28,0.28,0.31,0.79,0.33,0.42,0.5,0.37,,0.39
d_1,0.07,0.07,6.16,0.06,0.09,0.06,0.29,0.4,0.73,,0.28,0.44,0.62,0.51,0.44,0.62
c_1,0.07,0.08,0.09,6.64,0.14,0.06,0.39,0.23,,0.36,0.41,0.39,0.58,0.4,0.4,0.56
b_1,0.08,0.07,0.08,0.09,7.34,0.15,0.3,0.4,0.34,0.39,,0.38,0.39,0.35,0.37,0.56
a_1,0.08,0.06,0.08,0.11,0.06,10.84,0.3,0.26,0.42,0.42,0.34,0.41,,,,
h_1,0.38,0.31,0.28,0.27,0.24,0.37,14.29,1.34,1.35,1.66,1.17,1.22,,1.33,1.68,3.51
g_1,0.25,0.2,0.44,0.27,0.35,0.3,1.12,18.13,0.72,1.11,1.42,2.6,3.27,0.98,1.23,
c_0,0.44,0.49,0.41,,0.27,0.31,1.26,1.16,12.87,1.62,3.94,1.85,2.59,1.8,1.36,3.47
d_0,0.44,0.33,,0.68,0.4,0.46,1.09,1.66,1.51,11.69,2.44,1.7,4.29,1.8,2.04,3.09
b_0,0.38,0.3,0.35,0.31,,0.41,1.8,1.42,2.06,1.75,13.77,1.43,3.4,4.53,2.15,2.87
f_0,,0.37,0.34,0.36,0.49,0.46,1.83,1.33,2.41,1.85,2.06,16.41,2.61,,1.87,3.59
h_0,0.91,0.58,0.57,0.64,0.37,,,2.83,3.13,3.13,2.7,2.16,,2.73,5.6,4.93
a_0,0.38,0.42,0.38,0.49,0.44,,1.68,0.98,2.25,1.8,1.71,,3.45,18.69,2.37,
e_0,0.45,,0.31,0.35,0.39,,1.59,1.9,2.15,2.26,2.28,2.3,2.71,2.37,23.78,
g_0,0.38,0.65,1.17,0.48,0.74,,1.9,,2.83,1.8,1.72,4.24,3.9,,,
