,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.81,1.13,0.9,0.95,0.68,0.48,0.54,0.44,0.37,0.41,0.41,0.34,0.34,0.33,0.33
f_1,1.27,1.0,0.95,0.93,0.79,0.63,0.4,0.47,0.46,0.4,0.41,0.36,0.29,0.34,0.26,0.31
c_1,0.87,1.05,1.0,1.09,1.22,0.73,0.46,0.34,0.44,0.36,0.33,0.37,0.37,0.32,0.34,0.35
d_1,1.14,1.06,0.9,1.0,0.9,0.77,0.48,0.5,0.38,0.55,0.46,0.41,0.34,0.38,0.35,0.28
b_1,1.06,1.26,0.83,1.1,1.0,1.27,0.57,0.44,0.48,0.55,0.45,0.43,0.46,0.31,0.39,0.38
a_1,1.42,1.58,1.37,1.32,0.82,1.0,0.71,0.59,0.62,0.54,0.72,0.53,0.54,0.51,0.5,0.43
h_1,2.02,2.36,2.15,2.07,1.78,1.37,1.0,0.78,0.97,0.75,0.83,0.72,0.77,0.73,0.66,0.78
d_0,1.83,2.09,2.93,1.99,2.38,1.75,1.27,1.0,1.06,0.74,0.84,0.89,0.9,0.67,0.91,0.87
g_1,2.27,2.13,2.31,2.72,2.17,1.57,1.04,0.91,1.0,0.98,0.94,1.01,0.69,0.77,0.77,0.78
c_0,2.64,2.43,2.77,1.87,1.88,1.66,1.32,1.33,1.0,1.0,1.24,0.91,0.83,0.94,0.82,0.77
b_0,2.33,2.31,3.08,2.19,2.25,1.38,1.17,1.18,1.06,0.78,1.0,0.91,0.85,1.15,0.89,0.82
f_0,2.5,2.83,2.63,2.56,2.38,1.93,1.46,1.14,0.97,1.12,1.06,1.0,0.94,0.94,1.22,0.69
h_0,2.88,3.34,2.75,2.98,2.17,1.83,1.31,1.12,1.43,1.17,1.19,1.11,1.0,0.9,0.88,0.96
a_0,3.0,2.76,3.16,2.83,3.1,1.87,1.37,1.46,1.26,1.08,0.9,1.05,1.03,1.0,1.01,0.96
e_0,2.96,3.97,3.08,2.79,2.68,2.02,1.52,1.18,1.25,1.16,1.16,0.85,1.14,0.96,1.0,0.9
g_0,3.01,3.22,2.97,3.51,2.64,2.31,1.27,1.2,1.3,1.31,1.23,1.38,1.04,1.0,1.12,1.0
