,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.43,4.09,3.09,3.21,3.36,4.09,2.15,2.18,1.38,,1.98,1.48,1.22,1.63,0.86,1.64
f_1,3.59,0.41,4.08,3.37,3.99,3.01,1.68,1.81,2.45,1.7,1.53,,1.05,1.69,1.12,1.41
e_1,4.36,2.29,0.41,3.48,3.81,4.18,1.79,1.69,1.86,1.55,1.54,2.14,1.22,1.93,1.61,
c_1,4.01,4.25,3.83,0.37,4.72,3.62,1.37,,1.6,1.02,1.37,1.4,1.69,2.01,1.27,2.24
b_1,3.67,3.47,3.44,2.12,0.36,,2.31,1.76,2.0,1.34,,1.98,1.62,1.38,1.53,1.24
a_1,3.41,3.63,3.27,3.62,,0.31,2.2,1.82,1.9,1.7,1.87,1.95,1.52,,1.6,
h_1,1.47,1.81,2.09,2.68,1.67,1.94,0.27,0.77,1.04,0.83,0.79,0.88,,0.68,0.84,0.59
c_0,0.92,1.71,1.74,,1.49,1.5,0.81,0.3,0.88,0.81,0.91,0.63,0.77,0.84,0.62,0.79
g_1,2.18,1.81,2.45,1.92,2.11,1.79,0.74,0.91,0.24,0.68,0.76,0.79,0.69,0.96,,0.62
d_0,,1.38,1.12,1.84,1.79,1.8,0.83,0.64,1.47,0.28,1.13,0.59,0.58,0.74,0.55,0.65
b_0,1.57,1.53,1.74,2.13,,1.22,0.94,0.46,0.85,0.58,0.27,0.92,0.61,1.29,0.64,0.68
f_0,1.79,,1.36,2.28,1.3,1.49,0.92,0.75,0.59,0.85,0.63,0.26,0.56,0.71,0.49,0.94
h_0,1.37,1.39,1.35,1.07,1.13,1.29,,0.56,0.65,0.58,0.56,0.72,,0.47,0.54,0.61
a_0,1.63,1.87,1.82,1.74,1.97,,0.83,0.6,0.79,1.05,0.38,0.88,0.55,0.23,0.79,0.71
g_0,1.79,2.0,1.48,1.27,1.28,1.18,0.53,0.53,,0.86,0.55,0.55,0.34,0.43,,0.74
e_0,1.57,1.68,,1.22,2.25,,1.13,0.74,0.97,0.93,0.72,0.36,0.58,0.62,0.5,0.22
