,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.05,1.21,1.78,1.86,1.63,1.37,0.66,0.67,0.58,0.49,0.51,0.56,0.49,0.42,0.49,0.43
f_1,1.88,1.05,1.6,1.66,1.51,1.37,0.51,0.72,0.54,0.54,0.52,0.56,0.42,0.3,0.39,0.34
d_1,1.94,1.94,1.05,1.76,1.66,1.54,0.65,0.47,0.67,0.61,0.6,0.5,0.49,0.39,0.45,0.27
c_1,1.58,1.97,2.22,1.05,2.16,1.6,0.71,0.65,0.38,0.58,0.49,0.51,0.5,0.4,0.45,0.38
b_1,2.13,2.33,2.11,1.31,1.06,2.15,0.86,0.79,0.63,0.71,0.81,0.69,0.48,0.53,0.53,0.52
a_1,2.97,3.17,2.81,2.85,1.61,1.06,1.36,1.19,0.9,0.92,1.0,0.68,1.0,0.71,0.8,0.68
h_1,4.95,5.51,4.76,4.52,4.29,3.35,1.28,1.93,1.45,1.42,1.44,1.39,1.19,1.26,1.13,1.14
g_1,5.41,5.93,5.6,5.29,4.81,3.9,1.6,1.27,1.69,1.65,1.64,1.57,1.45,1.2,1.3,1.1
d_0,3.85,5.89,6.6,6.84,6.07,5.14,2.19,2.17,1.43,1.59,1.65,1.48,1.49,1.34,1.58,1.39
c_0,6.57,6.14,3.72,8.92,6.63,4.74,2.26,2.22,2.34,1.39,2.07,1.55,1.73,1.46,1.5,1.07
b_0,6.09,6.08,4.85,7.7,7.64,4.58,2.47,2.21,2.08,1.12,1.37,1.65,1.87,1.46,1.6,1.31
f_0,7.21,9.59,6.62,7.3,6.23,6.34,2.64,1.97,2.55,2.13,2.01,1.42,1.86,1.92,2.05,1.12
a_0,6.97,8.9,7.35,7.54,8.98,6.88,2.71,2.7,2.31,1.88,1.49,1.81,1.53,1.88,2.07,1.73
h_0,7.59,9.26,7.62,8.2,6.69,5.73,3.58,2.62,2.26,2.11,2.32,1.85,1.87,2.07,1.93,1.75
e_0,11.58,11.49,7.9,8.88,8.22,6.72,3.27,3.02,2.74,2.42,2.51,1.34,2.0,1.73,1.53,1.7
g_0,10.85,11.0,9.97,11.04,8.66,7.03,2.91,4.15,3.11,2.89,3.08,2.65,2.24,1.8,2.38,2.2
