,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.07,3.68,3.07,2.99,2.81,2.38,1.0,1.13,0.82,0.81,1.92,1.0,0.57,0.65,0.82,0.94
e_1,2.08,1.07,3.72,3.43,3.28,3.59,1.39,1.4,0.98,1.19,1.11,0.87,0.66,2.15,1.03,0.71
d_1,3.63,3.43,1.07,3.54,3.04,2.85,1.22,0.78,1.24,1.77,0.84,0.97,0.68,0.91,0.69,0.52
c_1,4.08,3.37,4.01,1.07,4.74,2.89,1.35,1.54,2.34,0.69,1.0,1.1,0.85,1.15,0.94,0.76
b_1,4.27,4.87,3.42,2.3,1.07,4.28,1.47,1.54,1.15,1.3,1.22,2.07,1.14,1.14,0.98,0.84
a_1,6.52,5.7,5.46,5.59,3.35,1.07,2.17,2.22,1.99,1.82,1.9,2.25,1.49,1.33,,1.16
h_1,7.91,6.74,7.33,7.54,7.21,5.62,1.38,2.88,1.96,2.02,2.59,1.71,2.96,1.43,1.98,1.86
g_1,8.82,7.43,9.92,7.8,7.49,7.55,2.96,1.38,2.24,2.17,2.7,2.29,1.47,2.3,2.21,2.31
c_0,10.44,10.58,5.06,14.32,9.37,5.99,4.09,4.35,1.63,3.2,2.52,3.26,2.21,2.06,2.23,1.9
d_0,11.14,5.54,18.49,11.11,9.16,8.08,3.84,5.31,2.53,1.67,2.31,2.23,2.08,3.08,2.67,2.35
f_0,17.84,7.74,9.53,9.63,8.43,8.46,3.04,2.32,2.61,3.14,1.6,2.44,2.39,3.83,2.69,1.38
b_0,9.86,8.31,9.27,11.02,14.4,7.76,4.2,3.47,1.76,2.95,2.54,1.67,2.37,2.49,2.6,2.0
h_0,13.52,12.26,13.4,12.04,10.87,9.4,6.87,5.28,3.48,3.46,2.86,3.02,4.63,2.52,3.3,2.61
e_0,19.05,15.92,11.47,12.22,12.31,8.23,6.04,4.9,3.67,3.14,1.93,3.52,3.41,1.62,2.82,2.67
a_0,13.07,12.74,14.64,14.7,14.8,,4.2,4.8,3.48,3.75,3.48,2.11,3.0,3.1,1.7,2.53
g_0,13.62,14.62,19.06,15.02,15.4,12.01,4.03,7.85,3.69,3.86,4.16,4.66,2.96,3.77,2.89,4.5
