,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.67,1.42,1.3,1.38,1.32,1.47,0.5,0.44,0.61,0.46,0.44,0.63,0.3,0.45,0.46,0.39
e_1,0.93,0.66,1.47,1.76,1.48,1.19,0.71,0.55,0.69,0.68,0.52,0.7,0.46,0.56,0.44,0.82
d_1,1.7,1.67,0.65,1.33,1.29,1.16,0.59,0.62,0.45,0.81,0.57,0.5,0.42,0.4,0.3,0.48
c_1,1.61,1.2,1.58,0.65,1.5,1.25,0.75,0.67,0.61,0.34,0.47,0.45,0.42,0.48,0.44,0.43
b_1,1.86,1.66,1.5,0.96,0.62,1.8,0.77,0.7,0.68,0.63,1.13,0.56,0.57,0.55,0.44,0.48
a_1,1.64,2.32,2.25,1.81,1.04,0.56,0.78,0.76,0.95,0.81,0.76,0.67,0.58,0.96,0.63,0.64
h_1,2.6,1.91,2.06,2.03,1.95,1.89,0.58,0.75,1.02,0.81,0.89,0.71,0.87,0.69,0.7,0.74
c_0,2.74,2.39,1.38,3.89,2.37,2.06,1.19,0.62,1.1,1.26,1.06,0.84,0.72,0.92,0.64,0.71
g_1,2.51,2.35,2.72,2.59,2.72,1.78,0.85,0.69,0.55,0.8,0.85,0.83,0.5,0.89,0.71,0.92
d_0,2.63,1.38,4.07,3.0,2.41,2.25,1.08,0.76,1.2,0.63,0.87,0.86,0.76,0.79,0.76,0.81
b_0,2.66,2.37,2.36,3.5,3.52,1.89,1.05,0.54,1.16,0.9,0.58,0.85,0.75,1.17,0.77,0.89
f_0,4.12,2.24,2.47,2.8,2.37,2.13,1.27,0.85,0.84,0.92,0.82,0.59,0.75,0.98,0.47,0.98
h_0,3.04,2.58,2.71,2.6,2.61,2.14,1.75,0.96,1.53,1.0,0.91,0.96,0.98,0.85,0.83,0.76
a_0,3.3,2.34,3.09,3.26,2.94,3.33,1.61,0.94,1.19,0.98,0.59,0.91,0.98,0.58,0.99,1.11
g_0,2.83,2.77,3.32,2.82,3.16,2.38,0.95,1.21,2.0,0.92,0.99,1.43,0.77,0.88,1.1,0.94
e_0,4.41,3.81,2.52,3.23,2.91,2.75,1.46,1.06,1.17,0.95,1.17,0.57,1.16,0.97,0.73,0.57
