,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,0.89,0.19,0.14,0.24,0.15,0.1,0.18,0.35,0.12,0.15,0.16,0.18,0.15,0.07,0.1,0.12
f_1,0.42,0.89,0.16,0.12,0.11,0.09,0.15,0.15,0.12,0.19,0.06,0.12,0.17,0.06,0.12,0.11
d_1,0.16,0.22,0.89,0.14,0.16,0.1,0.17,0.08,0.16,0.33,0.16,0.15,0.15,0.1,0.09,0.14
c_1,0.14,0.16,0.17,0.89,0.32,0.1,0.17,0.18,0.12,0.05,0.16,0.1,0.17,0.1,0.08,0.15
b_1,0.18,0.16,0.19,0.19,0.88,0.22,0.15,0.17,0.11,0.14,0.16,0.07,0.17,0.11,0.07,0.15
a_1,0.17,0.25,0.2,0.18,0.13,0.87,0.14,0.19,0.15,0.11,0.14,0.13,0.21,0.13,0.06,0.13
h_1,0.19,0.32,0.24,0.23,0.17,0.1,0.55,0.19,0.24,0.18,0.17,0.18,0.12,0.12,0.15,0.25
d_0,0.21,0.21,0.12,0.42,0.19,0.12,0.22,0.42,0.17,0.14,0.2,0.2,0.2,0.13,0.15,0.17
g_1,0.2,0.2,0.32,0.23,0.18,0.13,0.2,0.16,0.56,0.18,0.29,0.15,0.19,0.12,0.12,0.1
c_0,0.28,0.25,0.28,0.11,0.12,0.13,0.23,0.24,0.16,0.44,0.19,0.34,0.2,0.12,0.16,0.2
f_0,0.18,0.13,0.23,0.28,0.21,0.15,0.21,0.24,0.21,0.18,0.43,0.18,0.2,0.27,0.15,0.18
b_0,0.22,0.31,0.21,0.25,0.07,0.08,0.24,0.23,0.21,0.2,0.18,0.44,0.2,0.15,0.32,0.19
h_0,0.22,0.33,0.22,0.22,0.16,0.14,0.15,0.25,0.23,0.21,0.18,0.16,0.13,0.12,0.11,0.22
e_0,0.12,0.28,0.2,0.24,0.17,0.12,0.24,0.22,0.2,0.23,0.17,0.18,0.27,0.39,0.18,0.2
a_0,0.29,0.23,0.23,0.24,0.16,0.06,0.26,0.23,0.19,0.25,0.17,0.19,0.18,0.11,0.35,0.18
g_0,0.19,0.2,0.39,0.2,0.18,0.13,0.2,0.19,0.12,0.26,0.31,0.16,0.21,0.13,0.16,0.11
