,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.17,1.52,1.48,1.49,1.77,1.86,0.35,0.63,0.31,0.38,0.32,1.28,0.18,0.36,0.31,0.26
d_1,1.66,0.17,2.08,1.61,1.62,1.71,0.53,0.29,0.28,1.65,0.3,0.32,0.22,0.34,0.32,0.16
e_1,0.85,1.99,0.16,1.98,1.7,2.67,0.49,0.55,0.36,0.34,0.33,0.42,0.24,0.32,1.26,0.27
c_1,1.65,2.33,1.59,0.15,1.66,1.49,0.38,0.47,1.07,0.19,0.36,0.27,0.29,0.26,0.4,0.23
b_1,1.63,1.8,1.79,0.81,0.14,1.46,0.68,0.48,0.52,0.47,2.52,0.39,0.25,0.5,0.42,0.26
a_1,2.32,1.64,2.06,2.36,0.8,0.09,0.52,0.45,0.4,0.29,0.37,0.33,0.25,2.21,0.3,0.27
h_1,1.02,0.72,0.9,0.92,1.27,0.77,0.06,0.37,0.21,0.17,0.19,0.26,0.6,0.24,0.17,0.17
g_1,1.15,0.83,0.93,1.06,1.1,0.84,0.23,0.05,0.18,0.2,0.17,0.18,0.09,0.19,0.16,0.32
c_0,1.07,0.45,0.92,4.03,1.4,0.81,0.28,0.28,0.07,0.24,0.18,0.21,0.13,0.16,0.17,0.12
d_0,0.94,2.5,0.47,1.16,0.97,1.22,0.27,0.27,0.2,0.07,0.2,0.17,0.14,0.21,0.15,0.16
b_0,0.98,0.74,0.89,1.26,3.71,0.88,0.21,0.23,0.11,0.15,0.06,0.16,0.13,0.22,0.15,0.13
f_0,3.19,0.75,0.77,0.88,1.21,0.74,0.26,0.18,0.16,0.19,0.26,0.06,0.15,0.22,0.24,0.08
h_0,1.05,0.91,0.79,0.95,0.9,0.67,0.81,0.35,0.17,0.23,0.16,0.15,0.35,0.19,0.19,0.16
a_0,1.11,0.83,0.88,1.0,0.97,,0.26,0.3,0.19,0.19,0.09,0.15,0.16,0.05,0.16,0.17
e_0,1.34,0.74,1.72,1.16,0.86,0.81,0.26,0.22,0.18,0.2,0.18,0.08,0.14,0.22,0.05,0.12
g_0,0.93,1.09,0.91,1.02,0.73,0.88,0.18,0.58,0.17,0.23,0.18,0.17,0.1,0.23,0.21,
