,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.36,0.96,1.67,1.04,0.91,0.8,1.88,1.53,2.02,2.36,1.96,1.4,2.7,1.71,2.14,1.26
d_1,1.14,2.43,1.02,0.79,0.93,0.87,2.02,1.97,3.64,1.59,2.63,2.24,2.7,2.18,2.99,1.78
e_1,1.16,0.93,2.42,1.24,0.93,0.84,1.97,1.97,2.03,3.47,1.99,2.17,3.03,1.63,2.38,1.26
c_1,1.08,1.06,0.9,2.57,1.77,0.86,1.75,1.6,1.32,1.97,1.3,1.75,2.38,1.58,2.49,1.78
b_1,1.08,1.09,1.01,0.99,2.64,1.63,1.95,1.68,1.83,1.97,1.43,2.0,2.48,1.2,2.24,2.01
a_1,1.25,1.13,1.1,0.97,0.98,2.98,2.14,1.97,2.02,2.02,2.16,1.96,2.85,1.3,2.49,1.59
h_1,1.49,1.19,1.19,1.07,0.99,0.87,3.53,2.13,2.31,1.96,2.0,2.07,2.17,1.91,3.38,1.85
g_1,1.16,1.73,0.94,0.98,1.01,0.82,2.14,3.73,2.55,1.86,2.33,2.94,3.04,1.83,2.15,2.34
c_0,1.28,1.3,1.11,0.97,0.78,0.91,2.07,2.08,3.51,2.28,4.19,2.39,3.28,2.7,2.85,2.18
d_0,1.16,0.86,1.04,1.93,1.2,0.9,1.86,2.04,1.53,3.26,1.97,2.12,2.96,1.93,2.63,2.1
b_0,1.15,1.35,1.17,1.24,0.71,0.66,2.35,1.95,2.38,2.51,3.67,2.38,3.28,4.06,3.1,2.17
f_0,1.12,1.28,1.03,1.19,0.97,0.99,2.27,1.98,2.29,2.41,2.38,3.66,3.03,2.16,3.06,4.0
h_0,1.38,1.28,1.11,1.15,1.02,0.93,1.68,2.27,2.41,2.34,2.45,2.2,2.34,2.12,3.42,1.93
a_0,1.22,1.2,1.12,1.26,0.93,0.75,2.24,2.04,2.14,2.48,2.2,2.46,3.35,3.82,2.98,2.2
g_0,1.2,1.57,1.02,1.02,1.13,0.91,2.01,1.76,2.65,2.27,2.22,3.09,2.69,2.17,2.43,2.38
e_0,1.24,1.27,0.97,1.18,1.16,0.94,2.24,2.08,2.23,2.25,2.46,2.08,3.05,1.89,2.97,3.83
