,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.88,0.1,0.16,0.08,0.06,0.04,0.07,0.05,0.08,0.07,0.05,0.01,0.08,0.04,0.04,0.05
d_1,0.09,0.88,0.08,0.07,0.06,0.05,0.07,0.07,0.15,0.02,0.09,0.06,0.09,0.05,0.05,0.06
e_1,0.11,0.07,0.88,0.08,0.06,0.04,0.07,0.06,0.08,0.15,0.09,0.06,0.08,0.05,0.01,0.07
c_1,0.09,0.07,0.08,0.87,0.14,0.05,0.07,0.06,0.02,0.08,0.06,0.07,0.08,0.04,0.05,0.08
b_1,0.08,0.09,0.08,0.07,0.87,0.1,0.08,0.05,0.07,0.09,0.01,0.08,0.09,0.06,0.04,0.07
a_1,0.09,0.11,0.09,0.08,0.06,0.87,0.07,0.08,0.08,0.07,0.07,0.07,0.11,0.01,0.04,0.05
h_1,0.23,0.17,0.13,0.16,0.09,0.05,0.53,0.15,0.12,0.11,0.1,0.11,0.06,0.07,0.09,0.14
g_1,0.14,0.26,0.13,0.12,0.11,0.07,0.13,0.53,0.1,0.08,0.11,0.15,0.12,0.09,0.07,0.04
c_0,0.21,0.19,0.14,0.05,0.1,0.09,0.13,0.12,0.39,0.1,0.22,0.11,0.17,0.11,0.09,0.12
d_0,0.18,0.04,0.15,0.3,0.12,0.08,0.13,0.1,0.09,0.37,0.11,0.13,0.14,0.09,0.09,0.09
b_0,0.21,0.15,0.17,0.13,0.05,0.09,0.15,0.12,0.14,0.13,0.37,0.12,0.15,0.18,0.08,0.11
f_0,0.08,0.21,0.12,0.17,0.09,0.08,0.17,0.14,0.16,0.12,0.15,0.37,0.19,0.11,0.2,0.12
h_0,0.26,0.14,0.12,0.13,0.14,0.07,0.05,0.14,0.11,0.12,0.13,0.1,0.08,0.09,0.09,0.15
a_0,0.22,0.14,0.18,0.13,0.12,,0.15,0.1,0.12,0.13,0.12,0.13,0.16,0.37,0.1,0.13
e_0,0.16,0.19,0.05,0.19,0.13,0.08,0.18,0.13,0.14,0.13,0.14,0.14,0.13,0.08,0.37,0.11
g_0,0.17,0.3,0.08,0.12,0.12,0.06,0.16,0.05,0.15,0.09,0.12,0.18,0.15,0.09,0.08,0.05
