,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,16.9,1.15,0.52,0.5,0.47,0.44,0.72,0.87,0.71,0.57,0.85,0.38,0.8,1.02,0.93,0.98
e_1,0.54,16.41,0.42,0.82,0.49,0.42,0.96,2.07,0.86,1.02,0.99,1.0,0.84,0.98,0.99,0.43
d_1,0.6,0.48,20.47,0.32,0.51,0.68,0.83,0.34,0.81,2.19,1.14,1.03,1.18,0.83,0.96,0.97
c_1,0.54,0.46,0.48,18.45,1.15,0.54,0.74,0.74,0.92,0.22,0.64,1.03,1.18,0.99,0.81,0.99
b_1,0.47,0.41,0.57,0.6,22.89,1.16,0.79,0.74,0.88,0.77,0.27,0.89,0.87,0.65,0.97,0.99
a_1,0.53,0.49,0.66,0.55,0.46,33.15,1.1,0.91,0.91,0.93,1.19,0.91,0.99,0.47,0.82,0.88
h_1,1.04,0.54,0.68,0.77,0.65,0.59,5.54,1.14,1.59,1.21,1.03,0.91,0.58,0.96,1.83,1.12
d_0,0.73,0.7,0.25,1.73,0.58,0.56,1.17,3.18,0.79,1.0,1.06,1.42,1.21,1.13,1.46,1.18
g_1,0.78,0.52,1.35,0.63,0.56,0.64,0.98,0.78,7.18,1.06,1.23,2.08,1.11,0.91,0.59,1.09
c_0,0.71,0.76,0.9,0.36,0.38,0.64,1.29,1.2,0.93,3.69,3.53,1.27,1.21,1.75,1.48,1.26
b_0,0.72,0.75,0.86,0.65,0.27,0.41,1.58,1.34,1.23,1.39,3.71,1.38,1.21,3.17,1.39,1.33
f_0,0.33,0.56,0.86,0.75,0.77,0.63,1.43,1.37,1.19,1.42,1.6,3.6,1.44,1.25,1.14,2.64
h_0,1.02,0.62,0.78,0.72,0.83,0.64,0.57,0.89,1.92,0.99,1.24,1.12,0.72,1.07,1.79,0.93
a_0,0.81,0.69,0.75,0.68,0.61,0.4,1.21,1.43,1.28,1.15,1.31,1.54,1.54,4.61,1.16,1.1
g_0,0.57,0.51,1.22,0.86,0.69,0.85,0.99,1.04,0.63,1.08,1.38,2.17,1.25,1.15,0.68,1.12
e_0,0.82,0.32,0.83,0.71,0.7,0.66,1.87,1.06,1.19,1.34,1.54,1.15,1.62,1.06,0.99,6.18
