,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.25,0.87,0.93,0.91,0.71,0.43,0.38,0.5,0.45,0.36,0.34,0.31,0.29,0.3,0.35
e_1,0.8,1.0,0.96,1.21,0.91,0.78,0.51,0.43,0.44,0.56,0.41,0.44,0.36,0.36,0.35,0.36
d_1,1.16,1.03,1.0,0.83,0.87,0.78,0.5,0.58,0.36,0.44,0.47,0.4,0.37,0.36,0.35,0.27
c_1,1.09,0.85,1.22,1.0,1.45,0.7,0.51,0.36,0.48,0.31,0.35,0.39,0.37,0.34,0.33,0.35
b_1,1.11,1.07,1.16,0.68,1.0,1.31,0.63,0.52,0.47,0.47,0.43,0.42,0.43,0.31,0.33,0.38
a_1,1.44,1.26,1.26,1.38,0.78,1.0,0.74,0.6,0.6,0.69,0.67,0.53,0.57,0.54,0.43,0.45
h_1,2.31,1.9,2.04,1.98,1.64,1.3,1.0,0.84,1.03,0.78,0.82,0.73,0.73,0.71,0.62,0.73
c_0,2.61,2.39,1.76,2.56,1.97,1.58,1.15,1.0,1.04,1.17,1.26,0.89,0.88,0.93,0.75,0.72
g_1,2.06,2.23,2.75,2.15,2.07,1.67,0.95,0.95,1.0,0.87,0.84,1.03,0.73,0.73,0.66,0.67
d_0,2.13,1.78,2.36,3.2,2.16,1.49,1.34,0.89,1.15,1.0,0.94,0.82,0.94,0.86,0.74,0.77
b_0,2.77,2.47,2.14,2.8,2.43,1.47,1.25,0.82,1.2,1.04,1.0,0.91,0.96,1.17,0.79,0.72
f_0,2.91,2.25,2.49,2.5,2.49,1.91,1.38,1.18,0.95,1.15,1.08,1.0,1.01,1.04,1.18,0.69
h_0,3.09,2.74,2.75,2.67,2.38,1.74,1.35,1.14,1.39,1.07,1.03,1.0,1.0,0.84,0.93,0.99
a_0,3.43,2.61,2.72,3.06,3.06,1.94,1.4,1.14,1.41,1.24,0.93,1.02,1.17,1.0,1.0,0.87
e_0,3.55,2.93,2.9,2.94,3.03,2.22,1.67,1.3,1.57,1.29,1.27,0.84,1.13,1.0,1.0,0.91
g_0,2.92,2.77,3.6,2.82,2.69,2.15,1.36,1.35,1.48,1.32,1.37,1.52,1.03,1.15,1.11,1.0
