,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.18,0.71,0.74,0.78,0.67,0.65,0.17,0.25,0.14,0.15,0.17,0.39,0.08,0.13,0.15,0.17
e_1,0.4,0.17,0.92,0.84,0.92,1.06,0.25,0.27,0.17,0.17,0.13,0.21,0.1,0.46,0.21,0.12
d_1,0.85,0.85,0.16,0.82,0.64,0.72,0.22,0.13,0.16,0.33,0.16,0.13,0.11,0.14,0.12,0.07
c_1,0.77,0.61,0.94,0.14,0.94,0.69,0.2,0.25,0.36,0.08,0.15,0.14,0.1,0.18,0.15,0.1
b_1,0.88,1.0,0.64,0.41,0.14,0.83,0.23,0.24,0.19,0.19,0.32,0.15,0.17,0.17,0.17,0.12
a_1,0.95,0.8,0.76,0.78,0.44,0.09,0.23,0.28,0.17,0.19,0.21,0.19,0.15,0.15,0.52,0.11
h_1,0.64,0.61,0.63,0.62,0.62,0.49,0.06,0.19,0.14,0.12,0.12,0.14,0.15,0.11,0.11,0.1
g_1,0.65,0.6,0.64,0.62,0.7,0.71,0.15,0.05,0.12,0.14,0.12,0.13,0.07,0.13,0.12,0.13
c_0,0.68,0.76,0.3,1.44,0.64,0.49,0.21,0.24,0.06,0.22,0.15,0.12,0.09,0.13,0.12,0.08
d_0,0.63,0.32,1.27,0.63,0.69,0.68,0.21,0.24,0.12,0.06,0.12,0.11,0.08,0.16,0.17,0.1
b_0,0.62,0.5,0.55,0.84,1.31,0.58,0.19,0.18,0.07,0.13,0.06,0.11,0.09,0.12,0.11,0.08
f_0,1.44,0.5,0.55,0.74,0.57,0.66,0.16,0.09,0.12,0.15,0.11,0.06,0.09,0.2,0.12,0.05
h_0,0.6,0.59,0.58,0.66,0.61,0.63,0.29,0.18,0.12,0.12,0.1,0.1,0.16,0.1,0.11,0.08
e_0,1.05,0.84,0.48,0.76,0.69,0.44,0.22,0.19,0.11,0.12,0.13,0.06,0.09,0.04,0.1,0.07
a_0,0.65,0.63,0.58,0.81,0.79,1.01,0.15,0.17,0.09,0.14,0.06,0.1,0.09,0.1,0.04,0.08
g_0,0.73,0.58,0.53,0.66,0.72,0.62,0.11,0.25,0.11,0.12,0.13,0.11,0.08,0.11,0.09,0.15
