,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,114.61,67.14,62.82,59.31,106.98,291.69,8901.87,11984.16,26811.56,14051.28,30794.19,36090.98,75567.07,101137.62,116603.79,158809.67
f_1,49.18,114.18,102.78,79.57,97.47,243.23,7800.29,16247.44,17184.88,15189.82,26261.41,23510.23,73489.27,77778.58,74496.14,163630.68
e_1,48.98,49.57,129.95,84.83,115.27,261.61,7275.1,25756.63,15937.03,16309.57,24317.04,35275.34,81161.34,90205.38,74378.0,204195.42
c_1,59.29,46.83,53.4,145.31,167.98,193.37,7257.67,12067.41,9645.82,14106.12,18344.91,30313.89,67846.8,83453.17,105608.98,177562.44
b_1,46.51,46.13,46.32,54.38,204.38,403.2,6708.49,13778.76,11605.52,12208.23,16510.38,27111.27,55607.15,53706.98,87113.59,126439.21
a_1,34.92,42.62,37.6,50.58,43.67,431.3,4950.77,8466.41,9373.37,9939.59,16435.67,22765.08,48797.83,40959.74,61874.46,116598.28
h_1,15.06,19.08,17.49,20.03,28.9,71.75,3321.54,3767.49,4251.8,4870.86,6223.85,9118.33,15764.99,21452.38,29342.09,58326.23
d_0,7.9,11.23,11.0,26.86,27.37,70.35,1883.6,4766.2,3108.39,3600.85,6347.85,7879.64,17893.2,20622.07,23373.65,48260.02
c_0,11.77,12.74,14.14,13.99,21.69,58.69,2022.24,3711.23,5014.17,3774.3,8810.23,8191.2,16818.13,23804.45,22610.9,42912.28
g_1,17.01,10.29,11.16,16.74,25.87,52.65,1610.14,2855.95,3472.08,5718.52,5604.65,10775.0,15098.59,15129.27,24346.45,33381.37
b_0,10.9,11.66,12.33,16.74,14.12,39.71,1731.75,2779.7,3084.63,3063.72,7357.82,6691.08,16533.71,29834.88,24225.47,37302.02
f_0,11.18,7.35,9.85,13.44,22.26,37.2,1349.21,2444.52,3216.07,2767.51,4846.7,8919.59,14227.21,16074.39,35549.07,27501.44
h_0,7.95,10.07,8.18,10.44,16.11,39.93,906.64,2087.58,2372.67,2909.22,3891.28,4792.75,8401.45,13251.23,14931.04,34438.71
a_0,7.44,7.7,8.1,10.31,14.0,22.21,1187.3,1978.53,2111.9,2273.83,3156.91,4221.86,10761.6,18769.13,14694.4,23480.4
e_0,7.17,7.91,6.44,8.87,15.65,28.7,897.41,1911.81,2348.23,1872.32,3006.61,3681.08,10607.6,11538.97,21087.75,26474.29
g_0,8.7,5.7,4.94,7.68,12.73,28.99,741.85,1277.62,1803.74,1374.43,2700.91,5218.94,7031.79,9429.95,12516.02,17557.85
