,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,36.12,0.06,0.08,0.05,0.07,0.06,0.18,0.72,0.33,0.36,0.39,0.29,0.55,0.33,0.69,
f_1,0.12,38.42,0.07,0.06,0.06,0.09,0.32,0.35,0.22,0.46,,0.31,0.51,0.25,0.49,0.35
c_1,0.07,0.06,41.76,0.06,0.12,0.06,0.27,0.37,0.25,,0.47,0.33,0.69,0.23,0.72,0.29
d_1,0.06,0.07,0.06,42.44,0.07,0.07,0.31,,0.31,0.66,0.32,0.31,0.65,0.3,0.77,0.39
b_1,0.07,0.05,0.06,0.07,48.1,0.15,0.27,0.25,0.36,0.3,0.43,,0.88,0.26,0.52,0.33
a_1,0.07,0.05,0.07,0.08,0.07,67.77,0.27,0.32,0.3,0.44,0.42,0.38,0.53,,0.49,0.42
h_1,0.2,0.32,0.29,0.31,0.24,0.26,26.59,1.69,1.46,1.39,1.49,1.52,,0.95,2.57,1.61
d_0,0.35,0.32,0.66,,0.34,0.37,1.78,17.14,1.23,1.5,2.22,1.82,2.36,2.4,2.48,2.13
g_1,0.28,0.19,0.27,0.4,0.26,0.42,1.07,1.23,34.71,0.95,1.95,1.35,1.87,1.93,,
c_0,0.32,0.32,,0.37,0.36,0.22,1.58,1.72,1.12,19.31,2.12,4.47,3.59,1.61,2.96,1.49
f_0,0.29,,0.43,0.32,0.22,0.37,2.04,2.17,1.75,1.7,19.49,2.05,3.79,2.2,2.1,4.65
b_0,0.32,0.35,0.29,0.35,,,1.99,1.9,1.15,1.72,1.8,23.71,3.54,3.89,2.77,1.81
h_0,0.45,1.0,0.45,0.62,0.6,0.41,,2.84,3.2,3.67,1.63,3.22,,3.1,5.29,2.27
a_0,0.31,0.44,0.25,0.35,,,1.73,2.55,,1.73,2.47,1.71,3.61,33.59,2.61,
g_0,0.48,0.51,0.39,0.94,0.77,0.4,2.04,2.23,,3.16,4.77,2.52,2.99,3.0,,4.36
e_0,,0.46,0.35,0.33,0.38,,1.36,2.39,1.43,2.87,2.13,,2.83,2.17,2.99,34.78
