,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.18,0.87,0.98,0.99,0.78,0.58,0.63,0.67,0.56,0.6,0.51,0.46,0.47,0.45,0.56
e_1,0.87,1.0,0.9,1.1,0.87,0.83,0.79,0.92,0.68,0.65,0.57,0.7,0.62,0.61,0.68,0.62
d_1,1.17,1.06,1.0,0.85,0.85,0.83,0.68,0.72,0.54,0.87,0.64,0.56,0.64,0.6,0.57,0.44
c_1,1.0,0.9,1.2,1.0,1.25,0.79,0.76,0.51,0.67,0.57,0.57,0.6,0.6,0.54,0.59,0.54
b_1,1.0,1.15,1.16,0.81,1.0,1.38,0.83,0.65,0.7,0.69,0.66,0.6,0.6,0.54,0.51,0.59
a_1,1.28,1.18,1.19,1.27,0.73,1.0,0.89,0.8,0.87,0.77,0.91,0.79,0.72,0.85,0.79,0.73
h_1,1.7,1.27,1.45,1.35,1.26,1.07,1.0,0.9,1.2,0.88,0.84,0.79,0.81,0.74,0.79,0.87
d_0,1.54,1.09,1.4,1.98,1.66,1.23,1.12,1.0,1.03,0.9,0.83,0.98,0.89,0.84,0.94,0.91
g_1,1.49,1.46,1.83,1.48,1.39,1.14,0.84,0.98,1.0,0.86,0.96,1.06,0.79,0.88,0.83,0.74
c_0,1.75,1.51,1.2,1.7,1.44,1.27,1.18,1.16,1.18,1.0,1.26,0.95,0.91,0.99,0.84,0.85
b_0,1.77,1.67,1.5,1.8,1.48,1.02,1.2,1.12,1.1,0.78,1.0,0.99,0.91,1.24,0.93,0.84
f_0,2.0,1.41,1.79,1.72,1.73,1.23,1.23,1.01,0.95,1.07,1.07,1.0,1.05,0.92,1.26,0.79
h_0,2.18,1.62,1.58,1.62,1.58,1.4,1.23,1.11,1.27,1.09,1.1,0.94,1.0,0.94,1.03,1.0
a_0,2.13,1.66,1.65,1.87,1.83,1.17,1.39,1.18,1.16,1.04,0.84,1.09,1.01,1.0,1.04,0.89
e_0,2.17,1.59,1.75,1.68,1.91,1.3,1.3,1.05,1.21,1.08,1.12,0.79,0.94,0.99,1.0,1.09
g_0,1.7,1.58,2.26,1.76,1.8,1.49,1.14,1.06,1.36,1.14,1.16,1.29,0.97,1.15,0.97,1.0
