,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,5.71,0.07,0.1,0.06,0.08,0.09,0.35,0.67,0.32,0.16,0.33,0.5,0.34,0.53,,0.54
f_1,0.14,5.87,0.07,0.07,0.07,0.08,0.27,0.43,0.44,0.19,0.32,,0.39,0.56,0.46,0.72
c_1,0.07,0.09,6.31,0.1,0.15,0.08,0.24,0.37,,0.25,0.27,0.43,0.38,0.63,0.49,0.53
d_1,0.07,0.07,0.06,6.38,0.08,0.07,0.39,,0.54,0.31,0.43,0.43,0.42,0.78,0.47,0.49
b_1,0.08,0.08,0.1,0.09,6.78,0.11,0.3,0.36,0.37,0.31,,0.29,0.31,0.69,0.25,0.69
a_1,0.08,0.07,0.09,0.04,0.05,10.87,0.42,0.48,0.3,0.29,0.38,0.27,,0.7,,0.87
h_1,0.21,0.41,0.25,0.28,0.32,0.34,14.74,1.52,1.67,1.89,1.32,1.22,1.31,,1.55,2.32
d_0,0.44,0.45,0.66,,0.42,0.45,1.31,12.2,2.05,1.07,1.6,1.82,1.61,2.68,2.11,2.08
c_0,0.44,0.35,,0.46,0.32,0.35,1.34,1.45,12.36,1.91,4.44,2.0,2.33,2.95,1.65,2.17
g_1,0.27,0.22,0.31,0.46,0.26,0.27,1.06,1.07,1.36,19.67,1.62,2.16,1.56,2.29,,
b_0,0.44,0.4,0.35,0.41,,0.38,1.43,1.35,2.18,1.69,15.43,1.67,3.89,2.61,,3.4
f_0,0.32,,0.39,0.32,0.38,0.35,1.39,2.02,1.85,1.39,2.29,16.58,2.22,3.93,3.31,2.57
a_0,0.39,0.4,0.43,0.36,0.29,,1.53,2.63,3.08,1.46,1.44,1.28,19.12,,,2.16
h_0,0.45,0.77,0.64,0.54,0.61,0.51,,2.77,2.85,3.28,2.83,2.62,,,3.9,7.16
e_0,,0.44,0.32,0.56,0.37,,2.16,2.51,2.42,,,1.52,,3.01,22.98,
g_0,0.5,0.62,0.49,0.92,0.62,0.46,2.23,1.97,3.08,,2.72,5.0,3.42,3.67,,
