,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,1.73,1.26,0.77,0.8,0.68,0.62,0.89,0.91,1.0,0.87,0.68,0.98,0.99,0.94,0.72,0.93
e_1,0.82,1.74,0.68,1.03,0.86,0.75,0.9,0.91,1.61,0.88,1.06,0.95,1.0,1.04,0.8,0.98
d_1,0.85,0.75,1.9,0.68,0.73,0.68,0.95,1.01,0.71,1.76,1.08,1.32,1.06,1.16,1.14,1.09
c_1,0.79,0.76,0.81,2.0,1.37,0.77,0.94,0.88,0.85,0.57,1.03,0.65,0.84,0.89,1.02,0.85
b_1,0.86,0.78,0.78,0.74,2.16,1.55,1.03,0.92,0.89,0.76,0.88,0.66,1.03,0.73,0.97,0.93
a_1,0.91,0.84,0.93,0.74,0.69,3.05,1.09,1.11,0.76,1.01,1.03,1.12,1.08,0.6,0.93,0.97
h_1,1.14,0.82,0.96,0.88,0.82,0.83,1.78,1.24,0.97,0.78,0.89,0.85,0.75,0.86,0.97,1.33
g_1,0.85,0.8,1.24,0.91,0.75,0.77,1.05,1.85,0.81,1.04,1.35,0.96,0.95,1.11,1.09,0.9
d_0,0.82,0.81,0.6,1.5,0.99,0.99,1.0,1.0,1.46,0.64,1.09,0.87,0.91,1.02,0.96,0.98
c_0,0.95,0.85,1.08,0.81,0.63,0.72,1.06,1.05,0.96,1.61,1.01,1.95,1.13,1.41,1.2,1.17
f_0,0.76,0.71,1.06,0.91,0.94,0.83,1.18,1.04,1.01,1.18,1.69,0.99,1.06,0.92,2.24,1.25
b_0,1.02,0.71,1.05,1.04,0.63,0.66,1.04,1.01,1.04,1.01,1.04,1.74,1.22,2.02,1.23,1.27
h_0,1.13,0.87,0.93,0.86,0.74,0.72,0.82,1.36,0.95,0.98,1.02,1.12,0.86,1.27,0.97,1.31
a_0,0.92,0.76,1.08,0.94,0.95,0.6,1.22,0.96,0.96,1.06,1.03,0.96,1.12,2.0,1.18,1.16
e_0,0.98,0.68,1.01,0.94,0.82,0.94,1.19,1.06,0.98,1.05,1.11,1.13,1.32,1.11,1.92,0.95
g_0,0.79,0.74,1.27,0.8,0.91,0.73,0.94,0.88,0.8,1.2,1.56,1.14,1.08,1.11,1.33,0.94
