,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,5.67,0.09,0.07,0.07,0.08,0.1,0.24,0.3,0.69,0.29,0.35,0.27,0.39,0.37,,0.77
f_1,0.14,6.23,0.1,0.07,0.08,0.07,0.27,0.26,0.42,0.39,0.48,,0.21,0.67,0.23,0.31
c_1,0.07,0.07,6.44,0.08,0.12,0.06,0.32,0.3,0.44,0.31,,0.53,0.36,0.58,0.3,0.57
d_1,0.06,0.07,0.07,6.57,0.08,0.08,0.34,0.34,,0.56,0.8,0.32,,0.43,0.5,0.3
b_1,0.08,0.08,0.09,0.05,7.28,0.12,0.28,0.24,0.34,,0.48,0.3,0.32,0.65,0.33,0.84
a_1,0.08,0.07,0.08,0.07,0.07,9.46,0.41,0.29,0.43,0.3,0.34,0.39,,0.61,,0.53
h_1,0.27,0.37,0.17,0.37,0.33,0.26,14.39,1.51,1.22,1.15,1.12,1.34,1.45,,2.3,2.97
g_1,0.27,0.27,0.3,0.44,0.17,0.27,1.13,17.49,1.11,1.46,1.42,2.54,,2.3,1.49,
d_0,0.31,0.35,0.78,,0.43,0.36,1.09,1.43,12.67,2.3,1.59,1.49,1.48,3.64,1.84,2.4
b_0,0.45,0.33,0.29,0.42,,0.27,2.04,0.92,1.23,12.63,2.16,2.21,3.91,2.53,2.27,2.87
c_0,0.4,0.4,,0.28,0.3,0.34,1.72,1.47,2.41,3.12,12.44,1.52,2.42,3.41,2.58,2.23
f_0,0.29,,0.33,0.41,0.58,0.3,1.34,1.56,1.96,1.79,1.66,15.65,1.61,2.4,3.21,3.59
a_0,0.36,0.38,0.39,,0.28,,1.24,,2.18,1.42,2.42,1.71,19.18,3.93,,3.3
h_0,0.49,0.93,0.62,0.55,0.65,0.56,,2.73,2.84,2.44,2.75,1.85,3.37,,2.49,5.37
e_0,,0.4,0.38,0.3,0.36,,1.76,1.4,1.06,2.56,1.34,2.73,,4.51,20.88,2.56
g_0,0.62,0.43,0.51,0.96,0.34,0.66,1.81,,2.08,3.08,2.56,4.23,3.96,4.7,2.38,
