,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,0.43,0.59,0.99,0.82,1.06,0.98,0.52,0.44,0.4,0.36,0.52,0.5,0.38,0.4,0.61,0.48
f_1,0.92,0.43,0.94,0.84,0.82,0.74,0.34,0.42,0.34,0.36,0.44,0.47,0.28,0.43,0.32,0.37
c_1,0.71,0.88,0.4,1.26,0.96,0.82,0.46,0.24,0.55,0.36,0.46,0.36,0.3,0.34,0.44,0.31
d_1,1.0,0.93,0.74,0.38,0.83,0.87,0.47,0.71,0.42,0.48,0.38,0.38,0.33,0.4,0.35,0.24
b_1,0.84,0.94,0.56,0.94,0.36,1.14,0.54,0.5,0.42,0.75,0.49,0.51,0.43,0.45,0.38,0.3
a_1,0.95,1.14,0.9,0.84,0.5,0.3,0.5,0.54,0.51,0.54,0.52,0.38,0.37,0.66,0.42,0.4
h_1,0.72,0.97,0.71,0.75,0.81,0.73,0.25,0.32,0.34,0.34,0.37,0.35,0.35,0.33,0.35,0.31
d_0,0.5,0.79,0.96,1.19,0.75,0.73,0.5,0.26,0.33,0.35,0.54,0.33,0.33,0.33,0.45,0.35
c_0,0.89,0.89,1.48,0.49,0.79,0.64,0.44,0.43,0.24,0.38,0.36,0.36,0.29,0.33,0.36,0.26
b_0,0.72,0.94,1.14,0.63,0.95,0.63,0.4,0.35,0.24,0.22,0.4,0.34,0.31,0.4,0.37,0.33
g_1,0.81,0.87,0.87,0.72,0.97,0.79,0.37,0.34,0.34,0.34,0.2,0.32,0.2,0.29,0.3,0.42
f_0,0.67,1.28,0.94,0.72,0.71,0.7,0.41,0.36,0.33,0.36,0.33,0.21,0.3,0.32,0.42,0.2
h_0,0.71,0.88,0.85,0.72,0.74,0.61,0.61,0.34,0.33,0.35,0.51,0.3,0.36,0.33,0.31,0.29
a_0,0.75,0.72,1.04,0.73,0.91,1.03,0.51,0.4,0.3,0.2,0.4,0.41,0.31,0.2,0.35,0.32
e_0,1.01,0.99,0.71,0.78,0.75,0.65,0.39,0.35,0.33,0.37,0.41,0.2,0.31,0.35,0.2,0.29
g_0,0.71,0.81,0.83,0.76,0.89,0.71,0.36,0.32,0.36,0.3,0.53,0.37,0.24,0.31,0.33,0.34
