,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.44,2.24,4.44,5.36,4.42,4.9,1.46,0.83,0.98,1.43,0.99,0.99,0.83,0.74,3.76,0.87
f_1,3.98,0.43,4.39,3.14,5.7,3.72,1.08,1.1,0.91,1.73,0.95,4.15,0.77,0.43,0.98,0.76
c_1,4.14,4.01,0.42,5.77,4.14,5.36,1.58,0.46,3.44,1.41,1.07,0.79,0.94,0.6,0.71,0.66
d_1,5.98,6.67,4.71,0.41,4.61,3.97,1.0,4.42,0.87,0.68,0.82,0.85,1.03,0.68,0.82,0.39
b_1,6.04,5.46,2.39,5.09,0.4,5.97,1.21,1.07,0.99,1.55,3.67,1.29,1.1,0.78,0.82,0.8
a_1,6.27,6.85,9.7,6.88,2.95,0.33,1.47,1.42,0.99,2.14,1.03,1.79,,1.0,1.32,0.82
h_1,5.92,6.08,4.97,4.44,4.17,4.36,0.36,1.22,1.15,1.43,0.96,0.89,0.95,1.41,1.25,0.8
d_0,2.77,5.26,6.71,15.9,4.84,7.01,2.12,0.46,1.19,1.67,1.04,1.01,0.93,0.9,1.06,0.83
c_0,5.07,5.43,20.73,2.74,5.8,6.8,1.82,1.35,0.45,1.62,1.25,0.92,1.14,0.87,1.37,0.7
g_1,6.27,7.35,5.18,4.77,6.68,6.46,1.09,1.6,0.94,0.32,0.99,1.02,0.92,0.7,1.18,1.64
b_0,4.79,6.26,6.5,6.35,21.79,4.97,1.63,1.02,0.66,1.57,0.42,0.95,1.29,0.77,1.09,0.79
f_0,5.12,20.34,6.55,5.59,6.44,4.91,1.6,1.18,1.02,1.07,1.38,0.38,1.35,0.8,1.08,0.59
a_0,5.73,7.52,8.1,8.12,8.03,,2.1,1.43,1.46,2.27,0.67,1.2,0.36,1.03,1.4,1.19
h_0,6.09,7.07,8.3,6.31,7.76,5.72,4.57,1.39,1.59,2.13,1.63,1.68,1.6,2.65,1.3,0.88
e_0,20.42,12.53,6.07,9.28,8.47,4.51,2.28,1.73,1.33,2.49,1.28,0.66,1.38,0.93,0.32,0.96
g_0,6.54,10.35,8.37,7.58,7.89,8.64,1.53,1.88,1.32,4.58,1.37,1.54,1.52,0.86,1.52,2.35
