,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.41,3.57,4.08,3.1,3.97,4.38,1.59,2.36,1.39,1.62,1.57,,1.11,1.6,1.36,1.36
d_1,3.76,0.41,5.11,3.14,3.36,3.62,2.31,1.29,1.75,,1.72,1.6,1.17,1.62,1.65,0.9
e_1,2.14,4.13,0.4,4.34,3.33,,1.78,2.06,1.77,1.94,1.47,2.04,1.27,1.36,,1.3
c_1,3.39,4.71,3.34,0.39,4.04,2.82,1.72,1.68,,1.03,2.05,1.48,1.64,1.4,1.81,1.48
b_1,3.0,3.91,3.78,2.19,0.37,3.72,2.31,1.83,1.93,1.63,,1.45,1.27,2.14,2.05,1.5
a_1,4.38,3.62,,5.21,2.21,0.31,2.04,1.73,2.27,1.17,1.6,1.98,1.44,,1.44,
h_1,2.0,1.36,2.14,1.78,1.83,1.51,0.25,1.36,0.83,0.66,0.63,1.31,,0.88,0.69,0.95
g_1,2.68,1.98,1.97,1.94,2.1,1.84,0.7,0.24,0.75,0.87,0.82,0.97,0.53,0.79,0.71,
c_0,1.85,1.02,1.62,,1.85,1.48,0.74,0.94,0.29,0.86,0.79,0.86,0.67,0.67,0.62,0.53
d_0,1.83,,0.95,1.99,1.75,2.33,1.01,0.74,0.67,0.29,0.87,0.59,0.53,0.96,0.51,0.66
b_0,1.57,1.44,1.94,1.6,,1.94,1.03,0.89,0.57,0.54,0.27,0.63,0.7,1.25,0.66,0.48
f_0,,1.55,1.26,1.69,2.06,1.19,0.7,0.64,0.56,0.79,0.98,0.27,0.63,0.84,1.3,0.44
h_0,1.34,1.36,1.3,1.25,1.35,0.98,,0.76,0.53,0.66,0.46,0.52,,0.54,0.61,0.67
a_0,1.75,1.69,1.72,1.95,1.43,,0.83,0.95,0.79,0.72,0.4,0.67,0.94,0.22,,0.68
e_0,1.82,1.52,,1.93,1.43,1.66,1.01,0.95,0.86,1.03,0.88,0.34,0.64,,0.22,0.56
g_0,1.32,2.0,1.35,1.14,1.06,,0.46,,0.59,0.73,0.72,0.61,0.34,0.64,0.68,
