,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.94,0.44,0.48,0.33,0.32,0.23,0.33,0.22,0.44,0.17,0.3,0.25,0.23,0.22,0.2,0.21
e_1,0.37,0.94,0.4,0.45,0.38,0.29,0.3,0.25,0.27,0.43,0.25,0.28,0.26,0.23,0.12,0.23
f_1,0.41,0.66,0.94,0.4,0.34,0.22,0.22,0.25,0.26,0.23,0.25,0.16,0.23,0.16,0.15,0.16
c_1,0.51,0.41,0.43,0.94,0.58,0.28,0.31,0.22,0.14,0.22,0.19,0.25,0.23,0.15,0.14,0.24
b_1,0.52,0.41,0.47,0.33,0.94,0.55,0.34,0.26,0.28,0.24,0.19,0.24,0.2,0.15,0.25,0.25
a_1,0.6,0.52,0.58,0.45,0.27,0.94,0.33,0.33,0.3,0.36,0.31,0.31,0.39,0.19,0.26,0.28
h_1,0.64,0.58,0.9,0.62,0.55,0.45,0.75,0.5,0.42,0.4,0.39,0.35,0.29,0.26,0.31,0.44
g_1,1.06,0.59,0.47,0.74,0.56,0.42,0.41,0.75,0.45,0.32,0.39,0.51,0.36,0.34,0.39,0.28
c_0,0.72,0.78,0.72,0.53,0.55,0.47,0.45,0.44,0.65,0.5,0.67,0.41,0.45,0.37,0.35,0.37
d_0,0.44,0.65,0.77,1.15,0.57,0.43,0.5,0.51,0.38,0.64,0.37,0.42,0.41,0.32,0.37,0.4
b_0,0.82,0.79,0.81,0.63,0.37,0.4,0.54,0.45,0.43,0.47,0.66,0.39,0.5,0.64,0.31,0.43
f_0,0.86,0.59,0.56,0.68,0.63,0.58,0.59,0.48,0.53,0.46,0.46,0.65,0.52,0.33,0.64,0.33
h_0,0.96,0.76,1.09,0.78,0.73,0.39,0.38,0.57,0.52,0.46,0.36,0.36,0.3,0.39,0.27,0.49
a_0,0.87,0.81,0.88,0.84,0.65,0.31,0.67,0.5,0.56,0.54,0.41,0.49,0.52,0.61,0.35,0.39
e_0,0.9,0.63,0.94,0.92,0.61,0.51,0.65,0.45,0.52,0.47,0.5,0.38,0.59,0.4,0.64,0.42
g_0,1.25,0.7,0.91,0.72,0.6,0.47,0.51,0.4,0.56,0.44,0.43,0.66,0.42,0.43,0.37,0.36
