,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.81,0.98,1.42,1.94,4.47,17.94,28.14,26.1,38.45,32.69,50.96,73.27,84.84,101.92,110.19
f_1,1.2,1.0,0.93,1.26,1.59,3.73,14.48,25.48,23.96,27.1,30.55,36.9,57.25,84.63,73.03,96.38
d_1,0.99,1.08,1.0,1.19,1.56,3.67,15.89,20.69,31.73,27.65,33.46,40.33,69.11,83.04,97.42,85.07
c_1,0.69,0.82,0.85,1.0,1.99,3.29,12.83,21.18,18.49,16.69,21.94,30.48,57.58,70.06,63.69,76.42
b_1,0.51,0.63,0.63,0.52,1.0,3.67,9.35,14.27,16.21,13.54,17.38,21.13,43.41,44.21,50.57,60.77
a_1,0.22,0.26,0.27,0.3,0.28,1.0,4.16,5.75,6.45,7.18,9.08,9.84,20.13,20.25,25.22,27.65
h_1,0.06,0.07,0.06,0.08,0.11,0.24,1.0,1.73,1.53,1.59,1.84,2.32,4.2,5.61,5.72,6.86
g_1,0.04,0.04,0.05,0.05,0.07,0.16,0.59,1.0,1.03,0.96,1.23,1.99,2.82,3.87,3.89,4.15
c_0,0.04,0.04,0.03,0.06,0.06,0.15,0.64,0.93,1.0,1.19,1.55,1.51,2.75,3.65,3.71,4.0
d_0,0.03,0.04,0.04,0.06,0.08,0.14,0.61,1.0,0.8,1.0,1.05,1.48,2.68,3.33,3.34,3.91
b_0,0.03,0.03,0.03,0.05,0.06,0.11,0.54,0.79,0.64,0.97,1.0,1.25,2.42,3.82,2.95,3.31
f_0,0.02,0.03,0.02,0.03,0.05,0.1,0.42,0.51,0.62,0.67,0.78,1.0,1.78,2.35,3.29,1.98
h_0,0.01,0.02,0.01,0.02,0.02,0.05,0.23,0.35,0.35,0.38,0.4,0.58,1.0,1.23,1.31,1.66
a_0,0.01,0.01,0.01,0.01,0.02,0.05,0.19,0.28,0.27,0.29,0.27,0.43,0.8,1.0,0.94,1.1
e_0,0.01,0.01,0.01,0.02,0.02,0.04,0.17,0.23,0.25,0.28,0.34,0.31,0.72,1.05,1.0,0.99
g_0,0.01,0.01,0.01,0.01,0.02,0.04,0.15,0.25,0.26,0.27,0.31,0.48,0.61,0.85,0.96,1.0
