,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.09,2.26,2.39,2.23,2.27,2.0,0.52,0.74,0.52,0.47,0.65,0.47,0.28,0.48,0.43,0.39
e_1,1.55,1.09,2.64,2.56,2.52,2.1,0.68,0.8,0.53,0.52,0.62,0.5,0.38,0.66,0.57,0.37
c_1,2.66,1.98,1.09,3.27,2.43,2.04,0.72,0.71,0.32,0.64,0.5,0.52,0.39,0.52,0.48,0.37
d_1,2.62,2.99,2.72,1.08,2.87,2.46,0.63,0.46,0.74,0.49,0.5,0.46,0.35,0.43,0.43,0.25
b_1,3.3,3.06,1.76,3.42,1.11,3.54,0.93,0.95,0.56,0.88,0.65,1.02,0.46,0.57,0.59,0.4
a_1,4.81,4.33,5.38,5.05,2.5,1.13,1.38,1.36,1.0,1.09,1.02,1.32,0.87,0.95,1.28,0.79
h_1,9.52,9.78,9.08,8.78,8.37,8.65,1.54,2.59,1.91,2.17,2.07,2.1,1.63,1.83,1.73,1.34
g_1,13.14,11.86,12.41,11.74,11.43,8.89,2.48,1.58,2.23,2.33,2.49,2.02,1.26,2.02,1.94,1.78
d_0,10.93,7.86,14.31,15.0,12.32,10.33,3.26,3.86,1.91,2.5,2.53,2.32,1.84,2.46,2.17,1.69
c_0,12.91,13.28,20.34,7.76,14.28,14.19,3.62,3.23,3.42,1.76,2.94,2.47,1.97,2.45,2.53,1.57
f_0,16.41,12.27,13.78,13.25,12.53,9.73,3.59,2.47,2.48,2.94,1.76,2.58,2.08,2.08,2.4,1.19
b_0,14.13,15.89,18.97,11.79,18.88,12.91,4.11,4.2,3.08,1.75,2.86,1.9,2.05,2.61,2.63,1.81
h_0,17.63,17.62,16.96,16.5,16.4,16.03,5.3,4.79,3.49,3.2,3.45,2.91,2.69,3.22,2.73,2.15
e_0,26.98,28.02,18.97,18.23,18.76,17.37,5.55,4.39,4.62,3.41,2.42,4.15,2.87,2.1,3.68,1.9
a_0,18.95,20.34,21.1,22.3,22.78,24.79,5.87,5.73,3.92,3.67,4.2,2.24,2.59,4.03,2.26,2.34
g_0,23.43,22.96,23.28,19.19,21.42,23.53,5.11,6.9,5.05,4.37,4.58,4.62,2.68,4.07,3.95,3.93
