,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,1.07,2.01,3.14,3.01,3.67,3.27,1.16,1.0,0.92,0.74,1.18,1.04,0.77,0.91,1.62,0.86
f_1,3.53,1.07,3.36,2.92,2.71,2.43,0.83,1.01,0.72,0.84,0.99,1.21,0.57,0.94,0.66,0.75
c_1,3.18,3.4,1.07,5.44,3.55,2.86,1.22,0.6,1.73,0.89,1.15,0.91,0.66,0.82,1.03,0.67
d_1,4.18,4.19,2.94,1.07,3.3,3.27,1.3,2.67,1.09,1.2,0.94,1.0,0.77,0.95,0.88,0.57
b_1,3.65,4.44,2.46,4.07,1.07,4.54,1.8,1.61,1.18,2.73,1.39,1.4,1.23,1.1,0.93,0.72
a_1,5.78,6.1,5.34,4.77,2.94,1.07,2.01,2.27,2.18,1.99,1.82,1.27,1.17,2.83,1.39,1.21
h_1,8.04,9.28,7.38,7.31,7.07,5.86,1.39,2.11,1.93,1.85,2.32,1.98,2.05,1.73,1.88,1.75
d_0,5.68,10.13,11.11,11.88,6.89,5.95,3.82,1.61,2.42,2.24,3.21,1.84,2.13,1.91,3.11,2.0
c_0,10.27,11.57,23.17,5.81,9.27,6.03,3.99,3.0,1.63,2.64,2.62,2.51,1.94,2.19,2.1,1.56
b_0,9.54,13.77,15.11,7.14,15.98,7.61,4.28,2.9,2.35,1.62,3.21,2.49,2.35,2.85,2.53,2.6
g_1,11.39,12.06,12.99,9.46,12.43,8.94,3.31,3.06,3.21,2.99,1.4,2.59,1.97,2.16,2.18,4.44
f_0,10.36,26.04,13.09,9.56,9.86,9.2,4.19,4.41,3.12,3.45,3.06,1.58,2.45,2.59,3.03,1.65
h_0,11.23,15.91,15.14,11.7,11.73,8.53,11.05,3.67,3.68,3.79,4.88,2.82,4.07,3.47,2.72,2.74
a_0,11.68,11.83,16.84,12.85,12.78,16.49,7.19,4.45,3.52,2.27,4.09,4.05,2.77,1.64,3.27,2.89
e_0,22.35,17.63,11.39,13.2,12.63,9.25,4.64,4.11,4.09,5.21,5.33,2.23,3.43,3.52,1.69,3.31
g_0,13.4,16.48,14.37,14.37,15.73,13.53,5.01,4.24,4.85,3.78,,4.17,2.74,3.49,3.82,4.8
