,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,1.0,0.85,1.39,0.94,0.76,0.75,0.43,0.44,0.43,0.38,0.34,0.36,0.27,0.35,0.34,0.25
d_1,1.18,1.0,1.08,0.83,0.9,0.56,0.53,0.41,0.44,0.56,0.42,0.39,0.4,0.26,0.31,0.27
e_1,0.72,0.92,1.0,1.03,1.03,0.85,0.58,0.43,0.59,0.44,0.45,0.46,0.41,0.37,0.29,0.33
c_1,1.06,1.2,0.97,1.0,1.29,0.59,0.46,0.39,0.34,0.33,0.39,0.33,0.41,0.33,0.32,0.37
b_1,1.31,1.11,0.97,0.77,1.0,1.15,0.62,0.52,0.46,0.48,0.42,0.44,0.36,0.41,0.32,0.39
a_1,1.34,1.8,1.18,1.7,0.87,1.0,0.76,0.59,0.59,0.53,0.58,0.53,0.48,0.46,,0.38
h_1,2.36,1.88,1.69,2.15,1.58,1.29,1.0,1.19,0.79,0.77,0.75,0.89,0.73,0.81,0.57,0.71
g_1,2.33,2.51,2.19,2.61,1.87,1.63,0.83,1.0,0.87,0.91,1.0,0.94,0.62,0.55,0.65,0.66
d_0,2.23,2.35,1.62,3.08,2.29,1.75,1.25,1.19,1.0,0.87,0.8,0.81,0.78,0.69,0.79,0.73
c_0,2.77,1.8,2.34,3.09,2.01,1.97,1.3,1.15,1.19,1.0,1.11,1.41,0.92,0.8,0.99,0.81
f_0,2.74,2.47,2.31,2.65,2.38,1.64,1.29,1.07,1.27,0.91,1.0,0.97,0.81,0.66,0.77,1.15
b_0,2.76,2.53,2.1,3.2,2.4,1.75,1.14,1.03,1.18,0.7,1.03,1.0,1.01,0.77,1.21,0.78
h_0,3.65,2.72,2.34,2.55,2.83,2.04,1.42,1.56,1.22,1.04,1.3,1.0,1.0,1.14,0.89,0.8
g_0,2.8,3.71,2.67,3.01,2.42,2.31,1.25,1.84,1.32,1.29,1.46,1.36,0.87,1.0,0.9,0.94
a_0,2.84,3.3,3.39,3.1,2.94,,1.68,1.42,1.24,0.86,1.28,0.83,1.13,1.17,1.0,0.77
e_0,4.06,3.53,2.94,2.67,2.51,2.6,1.44,1.56,1.34,1.21,0.88,1.32,1.34,1.06,1.49,1.0
