,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,1.07,9.54,9.86,10.19,10.81,7.27,2.54,3.33,3.26,2.41,2.68,,2.33,1.31,2.12,1.92
e_1,6.47,1.07,10.57,7.22,8.94,7.8,3.56,2.97,3.35,2.51,2.65,2.71,2.88,2.24,1.68,
d_1,8.42,9.63,1.07,9.38,8.9,6.99,3.72,1.81,,3.55,2.99,3.21,2.56,2.75,1.31,2.78
c_1,8.98,14.2,9.68,1.07,10.79,11.08,3.07,3.31,1.73,,2.79,2.33,4.34,2.07,2.24,2.13
b_1,10.34,11.72,11.86,6.66,1.07,13.97,4.93,3.78,3.64,3.25,,2.71,3.72,2.36,2.46,2.47
a_1,15.46,14.63,15.1,12.45,7.07,1.07,6.65,6.62,3.8,5.13,3.6,3.26,,4.23,2.47,
h_1,17.09,14.65,13.67,17.09,11.67,8.98,1.41,4.82,3.9,4.07,3.64,3.8,3.32,,3.06,3.57
g_1,15.96,19.63,22.35,15.14,17.66,11.06,5.26,1.41,4.32,4.39,4.84,4.8,3.66,2.72,,
d_0,14.54,8.75,,20.19,14.16,14.68,4.47,7.81,1.75,4.43,3.65,4.01,3.73,4.24,2.56,3.26
c_0,16.09,15.03,9.1,,17.95,12.04,5.34,5.12,3.91,1.71,6.23,3.82,4.28,3.9,3.01,
b_0,14.98,16.49,15.0,17.2,,16.75,6.34,6.91,5.56,2.68,1.73,4.95,5.09,4.01,4.42,3.61
f_0,,16.37,16.28,20.95,15.25,18.93,6.41,5.36,4.7,6.28,6.03,1.77,4.23,3.47,2.73,
a_0,26.85,18.81,24.12,15.23,17.76,,10.13,10.15,6.0,5.69,3.76,7.3,1.66,4.19,5.42,
h_0,19.73,18.59,12.42,15.12,13.75,13.69,,6.31,4.34,4.71,4.33,4.66,3.79,,4.58,4.65
g_0,19.39,25.16,27.25,18.07,17.95,21.81,5.55,,6.6,6.8,4.84,6.22,4.67,3.09,,5.31
e_0,34.25,,19.38,30.66,27.67,,10.39,,7.67,,6.98,,,4.7,4.92,1.68
