,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.26,0.63,0.53,0.69,0.48,0.43,1.08,2.11,1.31,0.92,1.16,1.07,1.29,0.92,1.4,0.43
f_1,1.06,2.28,0.57,0.5,0.44,0.35,1.05,1.24,1.14,0.96,1.01,0.55,1.23,0.92,1.33,0.56
d_1,0.53,0.71,2.32,0.39,0.46,0.4,1.06,0.79,2.21,1.14,1.43,1.22,1.63,1.08,1.57,1.21
c_1,0.54,0.59,0.52,2.45,0.93,0.48,1.03,1.24,0.4,0.7,0.83,1.12,1.31,0.83,1.37,1.06
b_1,0.63,0.6,0.51,0.68,2.68,0.71,0.88,1.13,1.0,0.68,0.43,1.01,1.6,0.8,1.1,0.98
a_1,0.57,0.58,0.73,0.55,0.56,3.26,1.15,1.11,1.08,0.82,1.33,0.97,1.82,0.37,1.29,0.86
h_1,0.74,0.99,0.8,0.66,0.5,0.39,3.1,1.16,1.39,1.52,1.52,1.26,1.05,1.07,2.12,1.35
d_0,0.67,0.76,0.44,1.33,0.62,0.52,1.19,2.53,1.31,1.19,1.51,1.36,1.84,1.11,1.35,1.05
c_0,0.75,0.8,0.87,0.43,0.46,0.4,1.34,1.55,2.71,1.28,2.98,1.5,2.14,1.64,1.68,1.18
g_1,0.67,0.62,1.24,0.67,0.51,0.34,1.15,1.17,1.7,3.33,1.4,1.79,1.86,1.26,1.36,1.26
b_0,0.55,0.91,0.77,0.74,0.33,0.34,1.48,1.69,1.64,1.28,2.93,1.63,2.04,2.66,1.73,1.28
f_0,0.48,0.53,0.9,0.8,0.65,0.52,1.47,1.37,1.57,1.37,1.47,3.04,1.87,1.29,1.91,2.92
h_0,0.7,0.97,0.78,0.67,0.64,0.46,0.82,1.34,1.57,1.51,1.27,1.2,1.23,1.12,2.15,1.05
a_0,0.68,0.81,0.92,0.59,0.58,0.28,1.16,1.78,1.72,1.26,1.9,1.63,1.78,3.21,1.65,1.37
g_0,0.59,0.71,1.17,0.63,0.67,0.47,1.27,1.29,1.21,0.78,1.35,2.09,1.88,0.77,0.94,1.44
e_0,0.42,0.77,0.97,0.7,0.73,0.55,1.65,1.43,1.2,1.28,1.61,1.42,1.84,1.01,1.84,3.09
