,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.18,13.36,15.96,11.77,13.4,15.21,2.45,4.31,2.96,3.07,2.1,,1.16,1.65,2.56,2.37
e_1,8.77,0.18,14.49,12.23,11.21,11.27,4.71,4.15,2.17,2.43,2.57,4.2,1.7,2.41,,1.81
d_1,12.54,16.91,0.16,12.24,14.68,8.75,2.92,2.05,,3.39,2.82,2.17,1.84,3.6,3.38,1.07
c_1,16.64,16.6,10.68,0.15,10.6,12.03,3.62,4.02,1.32,,2.91,2.62,1.86,2.75,2.58,1.8
b_1,14.74,10.39,11.57,7.95,0.13,15.75,3.32,6.24,2.42,2.74,,2.31,2.22,2.52,3.05,1.52
a_1,15.21,13.32,13.82,18.51,6.89,0.09,3.93,,2.87,2.72,2.75,,1.67,,,2.09
h_1,3.38,3.91,3.06,2.88,3.55,3.37,0.07,0.84,0.62,0.57,0.59,0.6,,0.81,0.57,0.63
g_1,3.86,5.14,3.33,4.02,3.25,,0.63,0.06,0.79,0.78,0.74,0.63,0.32,0.52,0.54,
d_0,2.2,1.47,,2.92,2.89,2.58,0.89,0.95,0.08,0.4,0.5,0.5,0.29,0.59,0.5,0.42
c_0,2.58,2.31,1.93,,2.64,1.88,0.65,0.75,0.59,0.08,0.51,0.49,0.49,0.53,0.39,0.28
b_0,2.52,2.65,2.54,2.79,,3.66,0.64,0.81,0.48,0.3,0.07,0.46,0.36,0.5,0.57,0.39
f_0,,2.1,3.25,2.73,2.23,,0.88,0.42,0.52,0.43,0.5,0.07,0.46,0.57,0.42,0.23
h_0,1.44,1.89,1.35,1.55,1.82,1.67,,0.38,0.34,0.37,0.42,0.35,,0.33,0.36,0.18
a_0,2.61,2.32,2.7,2.91,3.79,,0.61,0.88,0.51,0.63,0.27,0.43,0.34,0.05,,
e_0,2.56,,2.67,2.58,2.84,,0.91,0.51,0.59,0.56,0.61,0.24,0.3,,0.05,0.44
g_0,1.6,1.88,1.34,1.8,1.98,1.6,0.32,,0.4,0.31,0.41,0.67,0.17,,0.31,
