,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,14.71,0.76,0.59,0.43,0.57,0.71,0.99,0.45,2.48,0.95,1.3,1.09,0.97,1.25,1.09,0.97
f_1,0.55,12.23,1.61,0.62,0.51,0.6,0.95,0.97,0.88,0.85,0.92,0.56,0.91,0.84,0.6,0.85
e_1,0.49,0.65,13.96,0.87,0.67,0.6,0.88,2.64,0.88,0.87,0.86,0.93,1.02,1.0,0.68,1.03
c_1,0.69,0.57,0.52,14.6,1.71,0.56,0.83,0.81,0.45,0.82,0.62,0.9,0.95,0.92,1.02,0.9
b_1,0.66,0.62,0.51,0.72,15.22,1.66,0.97,1.06,0.68,0.86,0.63,0.97,0.89,0.67,0.93,0.86
a_1,0.74,0.84,0.64,0.74,0.45,20.69,0.99,0.76,0.79,0.94,1.01,0.9,1.12,0.53,0.88,1.01
h_1,0.79,1.37,0.75,0.7,0.7,0.71,3.65,0.75,0.95,1.35,1.0,1.11,0.71,0.81,1.12,1.55
d_0,0.4,0.64,0.64,2.44,0.93,0.79,1.0,2.21,0.62,1.02,1.08,0.98,1.09,1.07,1.02,1.11
c_0,0.98,0.9,0.73,0.57,0.5,0.63,1.16,1.01,2.4,1.17,2.8,1.32,1.1,1.62,1.18,1.18
g_1,1.76,0.58,0.48,0.75,0.76,0.61,0.88,0.75,1.01,4.69,1.18,2.23,1.13,0.78,1.34,0.83
b_0,1.06,0.93,0.69,0.8,0.4,0.49,1.16,0.9,1.24,1.14,3.18,1.2,1.52,3.19,1.35,1.19
f_0,1.17,0.51,0.57,0.8,0.91,0.58,1.02,0.78,1.39,1.24,1.35,3.21,1.39,1.17,4.17,1.22
h_0,0.91,1.13,0.63,0.79,0.72,0.71,0.74,0.91,0.99,1.9,1.22,1.05,0.73,1.17,1.19,1.7
a_0,0.93,0.81,0.75,0.86,0.7,0.36,1.39,1.13,1.26,1.33,1.44,1.11,1.45,3.53,1.23,1.23
e_0,0.95,0.87,0.53,0.76,0.97,0.57,0.95,0.96,1.17,1.17,1.01,1.42,1.62,1.28,3.55,1.69
g_0,1.94,0.6,0.49,0.77,0.78,0.76,0.96,0.65,1.16,0.79,1.06,2.04,1.05,1.21,1.52,0.87
