,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.18,11.8,11.14,13.85,13.51,13.81,2.11,2.91,4.73,2.73,2.41,,1.28,2.19,1.74,3.89
e_1,8.8,0.17,12.71,12.42,11.71,12.8,3.15,3.67,2.92,2.65,2.01,3.35,1.6,2.64,2.54,
d_1,13.78,17.54,0.16,12.71,15.15,11.56,3.52,,2.02,2.83,1.78,2.62,1.25,3.74,1.17,3.31
c_1,11.08,15.14,19.06,0.16,11.13,14.07,3.07,1.2,5.79,,2.88,2.19,2.38,2.93,1.43,2.1
b_1,14.39,14.44,13.64,6.61,0.14,20.59,3.8,2.49,3.53,3.11,,2.81,1.48,2.35,1.78,1.8
a_1,16.11,13.41,14.77,16.89,5.96,0.09,,2.07,,1.73,3.23,2.47,2.12,,1.4,
h_1,3.08,3.96,3.05,3.95,3.29,,0.07,0.55,0.96,0.85,0.68,0.5,,0.67,0.41,0.75
d_0,2.32,1.19,,2.78,1.9,2.16,0.73,0.08,1.18,0.57,0.59,0.7,0.33,0.46,0.55,0.53
g_1,3.1,3.71,4.34,3.1,3.37,,0.67,0.74,0.05,0.54,0.82,0.76,0.42,0.71,,0.73
c_0,2.73,2.81,1.17,,2.67,3.24,1.06,0.59,0.59,0.07,0.5,0.45,0.44,0.53,0.44,0.47
b_0,3.57,2.62,2.04,3.54,,2.38,0.71,0.59,0.67,0.31,0.08,0.37,0.35,0.52,0.29,0.38
f_0,,3.09,3.8,1.72,3.24,2.63,0.71,0.45,0.38,0.45,0.62,0.07,0.41,0.52,0.25,0.49
h_0,1.33,1.45,1.79,1.95,2.22,1.33,,0.43,0.39,0.35,0.32,0.34,,0.33,0.19,0.28
a_0,2.28,4.62,2.18,2.08,3.72,,0.74,0.73,0.71,0.53,0.23,0.52,0.37,0.05,0.48,
g_0,1.74,1.41,1.78,1.83,1.7,1.9,0.37,0.35,,0.34,0.54,0.47,0.18,0.29,,
e_0,3.16,,2.9,2.46,2.82,,0.53,0.36,0.8,0.71,0.46,0.26,0.29,,,0.04
