,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.76,1.47,1.15,1.41,3.87,24.69,34.74,29.17,29.27,42.96,60.38,80.47,93.64,129.01,131.02
f_1,1.32,1.0,1.02,1.14,1.18,3.79,15.51,24.45,32.45,33.14,43.48,42.79,71.33,65.31,97.15,121.78
c_1,0.68,0.98,1.0,1.26,1.41,2.46,15.64,15.94,23.82,27.7,33.27,43.4,59.42,68.28,102.12,99.35
d_1,0.87,0.88,0.79,1.0,1.08,2.92,17.65,23.38,30.09,25.16,41.11,44.64,69.76,75.86,92.28,70.48
b_1,0.71,0.85,0.71,0.93,1.0,3.42,14.7,18.87,24.16,25.64,25.02,33.61,55.04,58.83,75.88,92.74
a_1,0.26,0.26,0.41,0.34,0.29,1.0,6.75,8.3,8.92,10.53,13.39,13.23,24.22,24.06,37.65,43.26
h_1,0.04,0.07,0.06,0.06,0.07,0.15,1.0,1.43,1.67,2.59,2.49,2.59,3.84,5.56,5.46,6.68
d_0,0.03,0.04,0.07,0.04,0.05,0.11,0.7,1.0,1.25,1.59,1.76,1.77,2.77,3.28,3.85,4.82
c_0,0.03,0.03,0.05,0.03,0.04,0.1,0.58,0.81,1.0,1.35,1.97,1.58,2.36,2.56,2.92,3.08
g_1,0.03,0.03,0.04,0.04,0.04,0.09,0.39,0.66,0.78,1.0,1.18,1.55,2.16,2.0,2.71,3.95
b_0,0.02,0.02,0.03,0.02,0.04,0.08,0.4,0.59,0.51,0.84,1.0,0.94,2.7,1.79,2.13,2.65
f_0,0.02,0.03,0.02,0.02,0.03,0.07,0.42,0.57,0.63,0.64,1.0,1.0,1.81,2.06,3.19,1.98
a_0,0.01,0.01,0.02,0.02,0.02,0.04,0.27,0.38,0.41,0.44,0.38,0.55,1.0,1.11,1.52,1.36
h_0,0.01,0.02,0.01,0.01,0.02,0.04,0.17,0.29,0.4,0.5,0.54,0.51,0.85,1.0,1.23,1.89
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.18,0.25,0.33,0.35,0.51,0.32,0.78,0.77,1.0,1.27
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.15,0.2,0.3,,0.37,0.52,0.77,0.54,0.83,1.0
