,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,2.36,0.18,0.22,0.25,0.32,0.23,0.54,0.62,1.11,0.57,0.64,0.55,0.59,0.86,,0.7
f_1,0.44,2.4,0.31,0.3,0.32,0.3,0.47,0.52,0.54,0.54,,0.74,0.47,0.79,0.47,0.69
c_1,0.32,0.25,2.51,0.28,0.35,0.28,0.58,0.56,0.52,,0.73,0.61,0.74,0.86,0.5,0.73
d_1,0.3,0.25,0.23,2.56,0.26,0.27,0.58,0.59,,0.76,0.87,0.68,0.74,0.7,0.71,0.64
b_1,0.26,0.26,0.27,0.28,2.62,0.4,0.63,0.5,0.64,0.7,0.71,,,0.75,0.54,0.96
a_1,0.28,0.3,0.32,0.23,0.26,3.38,0.66,,0.61,0.76,0.46,0.57,,0.8,,
h_1,0.61,0.7,0.47,0.48,0.49,0.5,3.71,1.39,1.36,1.45,0.91,1.07,1.03,,1.3,1.57
g_1,0.39,0.54,0.52,0.78,0.48,,0.9,4.11,1.06,1.45,1.62,1.15,1.2,1.4,1.39,
d_0,0.55,0.71,0.99,,0.71,0.57,1.07,0.96,3.45,1.49,1.12,1.22,1.2,1.85,1.4,2.1
c_0,0.63,0.66,,0.66,0.56,0.48,1.04,1.16,1.25,3.77,1.58,2.5,1.25,1.87,1.32,1.98
f_0,0.67,,0.55,0.46,0.54,0.8,1.64,1.08,1.65,1.35,3.88,1.36,1.65,2.0,1.97,1.47
b_0,0.63,0.54,0.7,0.71,,0.61,1.46,1.5,0.98,1.06,1.42,3.98,2.0,1.41,1.64,1.83
a_0,0.56,0.74,0.51,0.6,,,1.15,0.98,1.13,1.88,1.44,0.92,4.48,1.96,,2.01
h_0,0.71,1.05,0.77,0.85,0.66,0.71,,1.68,1.75,1.75,1.16,1.64,2.1,,1.26,2.39
e_0,,0.78,0.68,0.58,0.81,,1.24,1.24,1.25,1.58,1.2,1.16,,1.83,4.83,1.54
g_0,0.68,0.83,0.87,1.07,0.6,,1.63,,1.48,1.13,2.4,1.91,1.48,1.84,1.54,
