,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,0.91,1.15,0.95,1.1,0.79,1.01,0.77,1.06,1.04,1.1,,1.03,1.11,0.83,1.12
d_1,1.09,1.0,0.92,0.98,0.8,0.93,1.16,0.87,1.32,,0.91,1.24,0.86,0.93,0.93,1.0
e_1,0.87,1.09,1.0,0.84,1.04,0.89,1.05,1.02,0.97,1.38,0.88,0.93,1.05,0.81,1.15,
c_1,1.05,1.02,1.19,1.0,1.13,1.33,0.89,1.0,,0.81,0.87,1.0,0.95,1.0,1.08,0.92
b_1,0.91,1.25,0.96,0.88,1.0,1.44,1.05,0.96,1.0,1.0,,0.93,1.06,0.82,0.82,1.05
a_1,1.26,1.08,1.12,0.75,0.7,1.0,1.26,1.03,0.96,0.88,,,1.02,,0.93,
h_1,0.99,0.86,0.95,1.13,0.95,0.8,1.0,1.11,1.1,1.07,1.0,0.91,,0.77,1.32,1.05
g_1,1.3,1.15,0.98,1.0,1.05,0.97,0.9,1.0,0.95,0.7,1.11,1.05,0.9,1.26,,
c_0,0.94,0.76,1.03,,1.0,1.04,0.91,1.05,1.0,1.15,1.45,1.15,0.95,,1.09,0.77
d_0,0.97,,0.72,1.23,1.0,1.14,0.93,1.44,0.87,1.0,1.13,0.89,1.02,0.97,0.83,1.29
b_0,0.91,1.1,1.14,1.15,,,1.0,0.9,0.69,0.88,1.0,1.12,1.22,1.68,1.07,1.03
f_0,,0.81,1.08,1.0,1.08,,1.1,0.95,0.87,1.13,0.89,1.0,1.16,0.96,0.87,1.3
h_0,0.97,1.16,0.95,1.05,0.94,0.98,,1.11,1.05,0.98,0.82,0.86,,0.96,1.23,0.9
a_0,0.9,1.07,1.24,1.0,1.22,,1.3,0.79,,1.04,0.6,1.04,1.04,1.0,0.97,
g_0,1.21,1.08,0.87,0.93,1.22,1.08,0.76,,0.92,1.21,0.93,1.15,0.81,1.03,,1.08
e_0,0.89,1.0,,1.09,0.95,,0.95,,1.3,0.77,0.97,0.77,1.11,,0.92,1.0
