,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,107.68,52.71,58.94,61.61,108.17,305.41,7659.59,13068.03,27252.28,13172.82,30054.49,44535.99,81443.81,139584.74,113290.6,116506.41
e_1,42.38,109.12,50.05,87.35,107.19,350.67,9131.26,15919.36,18593.65,29926.95,29014.79,46206.44,73940.62,137101.49,116065.65,91187.28
f_1,48.32,77.07,120.29,67.94,79.86,290.8,7515.63,11851.6,13116.79,16047.47,22449.12,27132.56,59989.16,106232.33,93762.12,106485.11
c_1,42.63,38.38,53.19,144.61,152.58,265.46,7777.54,13547.23,8934.74,13374.73,12950.16,30147.63,68022.36,129752.2,96980.0,133139.95
b_1,40.12,39.4,52.23,47.02,200.3,435.58,5070.0,10562.48,11673.55,13565.53,13203.77,32450.27,58544.36,108417.42,62876.77,94975.07
a_1,30.15,27.88,31.82,40.64,46.97,513.68,4080.06,7382.61,9563.26,9440.08,14881.89,26711.22,44754.56,61245.25,56788.11,67640.39
h_1,14.16,9.2,17.41,16.63,30.42,73.49,3400.64,5109.07,4563.67,4258.96,5549.99,10116.76,12954.3,43636.77,30262.98,37654.82
g_1,15.96,8.43,12.25,12.98,22.33,68.27,1376.57,5578.82,3089.27,2484.65,4734.95,10716.84,12315.4,19970.68,26193.04,27405.7
c_0,9.9,10.82,13.99,11.33,18.11,62.51,1721.13,3449.51,5112.92,4023.11,8611.86,8217.05,17621.1,29233.57,29434.06,28374.05
d_0,7.18,8.09,13.49,24.46,20.67,56.42,1825.67,3445.37,2643.74,5270.34,4363.79,8846.63,15841.35,28959.66,24707.05,28676.06
b_0,9.5,8.37,11.94,17.16,12.08,43.83,1492.51,2829.72,2600.99,3978.16,6881.5,7048.2,14415.42,23234.64,44617.93,22733.58
f_0,9.01,7.3,6.26,13.21,15.18,42.46,1340.07,2162.31,2682.7,2956.74,4016.55,10006.94,12395.35,18671.95,18101.18,32961.91
h_0,6.73,6.86,11.19,10.15,13.42,34.28,858.69,2662.56,2128.97,2341.15,3454.57,4957.38,7678.43,23379.68,11520.96,18941.23
g_0,7.3,5.46,6.7,7.53,10.09,40.58,781.0,1364.26,1887.42,1877.08,2679.16,6832.55,7126.68,12437.72,13853.79,16493.48
a_0,5.82,4.95,6.98,9.65,14.67,16.23,802.81,1665.27,1605.14,1866.66,1992.67,4742.39,10943.72,13978.96,22763.51,15166.8
e_0,6.48,3.55,7.09,7.08,12.33,29.11,851.47,1597.36,1869.59,1786.57,2861.9,3763.0,8685.45,12305.03,13607.4,25089.29
