,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,5.83,4.46,2.4,2.93,2.79,2.4,10.2,10.13,12.18,14.58,13.47,9.41,13.96,20.71,11.06,19.94
e_1,2.97,6.2,2.66,3.44,2.78,2.77,11.06,11.23,13.07,22.78,13.96,13.97,15.05,20.69,10.87,18.66
d_1,3.12,2.79,6.34,2.63,2.64,2.88,10.58,10.05,22.16,8.68,16.22,13.59,14.81,20.59,14.31,20.27
c_1,2.78,2.51,2.69,7.04,4.92,3.22,10.48,10.02,8.64,11.67,10.55,15.04,13.83,20.5,14.03,20.46
b_1,2.97,2.59,2.94,2.74,7.74,5.7,9.91,10.16,12.72,11.33,9.56,13.68,11.5,19.71,14.24,19.18
a_1,3.03,2.6,3.06,3.08,2.99,11.48,10.95,10.01,12.68,12.32,12.12,12.92,11.1,21.26,15.81,22.75
h_1,3.66,2.98,3.25,3.16,3.01,3.02,18.16,12.57,11.64,13.18,13.42,16.02,17.41,20.7,15.73,28.3
g_1,2.68,2.71,4.22,3.15,2.84,3.07,11.16,22.26,15.31,12.63,13.86,20.53,15.75,23.62,18.75,22.17
c_0,3.26,3.18,3.17,2.59,2.63,3.0,11.26,11.33,20.02,15.44,25.96,14.82,20.72,23.91,16.94,25.04
d_0,2.89,2.61,2.35,5.34,3.37,3.12,10.76,11.34,9.66,20.71,12.19,14.76,15.27,23.7,15.76,20.38
b_0,3.24,3.11,2.92,3.67,2.57,2.27,13.27,12.75,13.67,15.98,23.29,14.75,31.07,25.81,18.07,25.45
f_0,2.8,2.75,3.36,3.35,3.01,3.42,11.7,12.09,12.99,14.25,16.51,24.02,15.3,23.95,30.8,24.4
a_0,2.96,2.88,3.3,3.49,3.31,2.17,11.65,12.15,13.73,14.05,13.94,14.86,27.27,26.41,17.25,24.06
h_0,3.66,2.75,3.31,3.11,3.23,3.11,9.24,13.95,14.45,13.96,13.11,14.86,14.56,15.7,16.13,28.37
e_0,3.75,2.76,3.25,2.92,3.08,2.45,12.41,11.21,14.17,13.22,15.04,17.03,18.87,27.58,32.97,24.95
g_0,2.9,2.57,4.19,3.22,3.27,3.16,10.11,7.75,14.4,11.78,13.37,21.47,17.06,23.52,19.06,19.65
