,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,106.98,81.99,59.2,71.75,85.69,283.97,6975.93,11820.18,16922.67,19672.18,28208.31,17980.72,80370.48,71319.62,83336.98,129516.33
e_1,45.78,113.84,55.85,83.48,83.21,282.85,8440.19,15684.0,18002.62,39794.96,31415.09,31690.01,97091.69,84713.46,75664.85,148562.79
d_1,48.59,48.42,135.18,49.55,78.86,284.5,7867.77,22745.15,13553.12,19181.79,32616.63,35363.02,78797.31,82660.91,122703.09,125455.94
c_1,45.5,39.23,66.62,145.7,120.51,188.2,6086.71,6394.65,14054.46,16540.25,22132.94,29269.02,70760.11,76078.65,89473.93,127021.06
b_1,39.67,40.51,59.81,52.34,168.63,468.51,6823.98,11585.5,14725.31,17917.43,18174.47,25288.12,75051.53,54285.51,99934.1,137937.94
a_1,27.73,26.43,41.47,51.38,33.95,485.78,5023.32,10344.04,9966.08,13278.6,20668.66,15417.81,53446.1,40329.02,58139.69,92292.08
h_1,15.47,11.99,18.48,16.73,22.07,74.72,3353.62,3354.45,4903.48,5869.51,8806.11,7121.46,18374.22,18791.25,25036.94,47591.84
c_0,12.43,11.89,12.73,14.65,14.84,63.1,1794.32,4797.98,2782.34,4827.26,11567.28,6996.24,18187.87,20410.77,28316.81,28027.1
g_1,9.01,9.21,19.89,14.0,15.42,54.95,1293.08,3455.8,6227.76,4133.46,4860.65,8561.73,17029.9,18959.14,21765.08,26537.55
d_0,10.78,8.08,7.05,23.62,14.11,57.58,1304.45,2507.2,3057.63,6247.56,5609.04,5279.82,14379.17,15688.03,17190.25,26340.5
b_0,9.65,9.53,11.13,14.5,10.86,34.79,914.78,2226.38,3357.16,4301.45,8098.21,4971.29,16176.0,28061.91,22762.96,29258.9
f_0,7.57,8.06,10.95,13.99,16.46,52.24,1430.01,2422.7,2490.74,4372.86,5493.08,8062.96,15648.23,15800.2,37913.85,20856.48
h_0,8.39,6.2,8.24,9.71,10.19,38.93,711.45,1923.82,2696.2,3388.55,4276.63,3366.42,8958.97,10935.05,13517.54,26359.56
a_0,7.49,6.7,8.39,8.99,11.03,19.89,1067.2,1720.29,1701.47,2934.49,2997.49,3555.24,9816.81,17909.46,14311.5,19908.11
e_0,6.48,4.45,7.04,9.02,10.25,29.21,903.74,1605.91,2010.95,2777.98,3529.97,2125.37,9872.36,8562.34,22871.18,20000.88
g_0,5.22,5.33,10.35,8.36,8.44,28.56,811.66,1665.57,1049.02,2238.1,2840.57,5056.55,7268.11,8625.42,11239.54,13222.78
