,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,93.82,50.42,74.47,97.86,130.63,382.08,9097.86,14398.58,28957.96,22689.21,35845.5,39340.87,92743.45,109914.43,230757.55,169586.2
f_1,70.56,101.41,68.92,74.69,116.28,404.67,6971.42,13332.63,15536.15,18831.3,35438.51,19370.06,83108.56,98878.35,159987.12,158328.04
d_1,41.35,50.83,140.29,61.26,99.65,366.2,7656.66,11287.44,11095.23,29606.52,30899.46,30839.69,90353.81,94738.5,149273.11,160547.33
c_1,36.37,42.84,66.5,143.0,203.77,293.28,7292.44,12194.91,13179.52,11961.42,19673.98,29971.11,79684.12,87011.33,150583.27,169088.62
b_1,32.69,42.74,61.84,42.8,219.96,510.64,5775.77,10291.14,9945.79,16997.11,16279.21,24319.87,71182.44,70663.58,118583.2,136703.76
a_1,22.84,25.22,42.87,42.15,55.92,565.84,4680.22,6956.16,8450.63,11701.6,18080.79,19619.55,52021.49,34172.34,98868.4,99199.96
h_1,10.53,17.01,18.59,20.21,33.27,80.48,3273.87,4364.16,4307.63,4913.73,8815.69,7653.89,19822.73,28740.45,58825.87,44395.4
g_1,9.0,9.87,22.86,16.08,27.01,88.85,1747.38,5060.6,3001.98,3429.36,6902.23,9709.12,18643.77,22353.29,35022.2,44536.24
d_0,7.78,11.03,10.8,27.36,31.62,76.24,1680.56,2717.18,4715.53,3724.8,6555.95,6337.56,22717.05,22519.56,41375.61,37206.26
c_0,9.49,11.72,12.52,13.89,19.58,77.48,1640.88,3044.19,3675.74,5816.74,11596.15,5825.45,20999.57,20735.82,41442.92,41405.98
b_0,7.89,8.52,13.63,17.38,14.28,45.78,1566.65,2545.6,2787.09,3021.65,8205.3,5561.92,14816.59,30896.36,32247.86,32141.36
f_0,6.59,6.51,12.98,14.83,20.93,69.25,1531.35,2413.14,2853.01,3761.85,6073.85,8579.22,18127.86,18909.98,34041.85,56229.34
h_0,6.12,8.6,10.0,10.0,15.38,45.87,792.26,2199.08,1780.69,2326.98,4442.8,3921.05,8479.61,12481.02,33349.84,22225.89
a_0,4.96,6.24,9.99,10.75,12.85,29.62,960.17,1616.08,2073.1,2523.15,3576.39,3887.59,12269.56,20441.18,22343.55,19758.47
g_0,4.22,5.81,10.62,7.68,11.42,40.26,711.64,1191.67,1318.29,1951.9,3848.0,4433.93,8547.05,11306.81,17598.9,19956.05
e_0,3.0,5.56,8.13,8.11,14.15,39.07,874.84,1314.92,1737.38,2095.84,3595.18,2854.28,9964.81,11997.04,18209.34,31107.1
